,K,n,s,exp,det,rot,roc,cen
0,-9.520726674,-1.275121992,0.133368434,모든 화약,모든 뇌관,모든 암석분류,편암,선대구경
0,-64.97911376,-1.025767918,0.234316594,모든 화약,모든 뇌관,모든 암석분류,편암,수직구
0,54.28000615,-1.512016148,0.093475541,모든 화약,모든 뇌관,모든 암석분류,화강반암,모든 심발
0,60.01076077,-1.5349123,0.092638459,모든 화약,모든 뇌관,모든 암석분류,화강반암,Cylinder-cut
0,9.261210545,-0.908696716,0.614124569,모든 화약,모든 뇌관,모든 암석분류,화강반암,TBM 선굴착
0,53.7352512,-1.516059574,0.144021731,모든 화약,모든 뇌관,모든 암석분류,화강반암,V-CUT
0,95.72560517,-1.976605821,-0.043125079,모든 화약,모든 뇌관,모든 암석분류,화강반암,라인 드릴링
0,59.53362561,-2.123022608,-0.189927941,모든 화약,모든 뇌관,모든 암석분류,화강반암,분착식 다단발파
0,29.33087268,-1.586244973,-0.034802346,모든 화약,모든 뇌관,모든 암석분류,화강반암,선대구경
0,-57.99536563,-0.887064839,0.323957929,모든 화약,모든 뇌관,모든 암석분류,화강반암,수직구
0,27.5347737,-1.361171031,0.207755762,모든 화약,모든 뇌관,모든 암석분류,화강암,모든 심발
0,60.23174609,-1.531199592,0.14125913,모든 화약,모든 뇌관,모든 암석분류,화강암,Cylinder-cut
0,6.126925218,-0.839461943,0.616056944,모든 화약,모든 뇌관,모든 암석분류,화강암,TBM 선굴착
0,27.62743991,-1.394296707,0.192131177,모든 화약,모든 뇌관,모든 암석분류,화강암,V-CUT
0,137.7679963,-2.203830345,-0.123262286,모든 화약,모든 뇌관,모든 암석분류,화강암,라인 드릴링
0,151.2878363,-2.113057599,-0.085562063,모든 화약,모든 뇌관,모든 암석분류,화강암,분착식 다단발파
0,78.33200242,-1.555832462,0.150598227,모든 화약,모든 뇌관,모든 암석분류,화강암,선대구경
0,3.724883577,-0.851061535,0.434929018,모든 화약,모든 뇌관,모든 암석분류,화강암,수직구
0,49.51855154,-1.484355748,0.15868032,모든 화약,모든 뇌관,변성암,모든 암종,모든 심발
0,9.799072662,-1.191051667,0.153477702,모든 화약,모든 뇌관,변성암,모든 암종,Cylinder-cut
0,89.41219424,-1.240107113,0.658805013,모든 화약,모든 뇌관,변성암,모든 암종,TBM 선굴착
0,72.41128945,-1.571506249,0.147391691,모든 화약,모든 뇌관,변성암,모든 암종,V-CUT
0,76.2018775,-1.548180257,-0.074697407,모든 화약,모든 뇌관,변성암,모든 암종,라인 드릴링
0,91.18424202,-1.528612446,-0.076357828,모든 화약,모든 뇌관,변성암,모든 암종,분착식 다단발파
0,28.82870954,-1.278768785,0.155895535,모든 화약,모든 뇌관,변성암,모든 암종,선대구경
0,28.22809316,-1.393275433,0.129692684,모든 화약,모든 뇌관,변성암,모든 암종,수직구
0,48.81986895,-1.148720896,0.139999835,모든 화약,모든 뇌관,변성암,규장암,모든 심발
0,-0.595448167,-1.13091132,-0.049820786,모든 화약,모든 뇌관,변성암,규장암,Cylinder-cut
0,114.7430782,-1.080670281,0.455503747,모든 화약,모든 뇌관,변성암,규장암,TBM 선굴착
0,270.0067903,-1.591286434,0.106461604,모든 화약,모든 뇌관,변성암,규장암,V-CUT
0,358.6060464,-1.743788441,-0.227335991,모든 화약,모든 뇌관,변성암,규장암,라인 드릴링
0,329.0495057,-1.513655323,-0.238381392,모든 화약,모든 뇌관,변성암,규장암,분착식 다단발파
