화약,지발당장약량,뇌관,암석분류,암종,이격거리,심발,SR SD,CR SD,최대입자속도
에멀젼C,1.5,비전기,변성암,편마암,227.1,V-CUT,185.43,198.39,0.013
에멀젼C,1,비전기,변성암,편마암,227.8,V-CUT,227.8,227.8,0.016
에멀젼C,1.625,비전기,변성암,편마암,224,V-CUT,175.72,190.53,0.017
에멀젼C,1.625,비전기,변성암,편마암,224.5,V-CUT,176.11,190.96,0.016
에멀젼C,1.125,비전기,변성암,편마암,59.9,V-CUT,56.47,57.59,0.102
에멀젼C,1.5,비전기,변성암,편마암,60.5,V-CUT,49.4,52.85,0.116
에멀젼C,1.5,비전기,변성암,편마암,61,V-CUT,49.81,53.29,0.149
에멀젼C,1,비전기,변성암,편마암,61.9,V-CUT,61.9,61.9,0.117
에멀젼C,1,비전기,변성암,편마암,64.3,V-CUT,64.3,64.3,0.156
에멀젼C,1.875,비전기,변성암,편마암,80.2,V-CUT,58.57,65.04,0.079
에멀젼C,1.5,비전기,변성암,편마암,83.5,V-CUT,68.18,72.94,0.094
에멀젼C,1.125,비전기,변성암,편마암,82.3,V-CUT,77.59,79.13,0.128
에멀젼C,0.75,비전기,변성암,편마암,80.4,V-CUT,92.84,88.49,0.125
에멀젼C,1,비전기,변성암,편마암,84.9,V-CUT,84.9,84.9,0.089
에멀젼C,1.5,비전기,변성암,편마암,167.6,V-CUT,136.84,146.41,0.021
에멀젼C,1.5,비전기,변성암,편마암,162.8,V-CUT,132.93,142.22,0.042
에멀젼C,2,비전기,변성암,편마암,164.2,V-CUT,116.11,130.33,0.047
에멀젼C,1.125,비전기,변성암,편마암,173.6,V-CUT,163.67,166.92,0.039
에멀젼C,1.875,비전기,변성암,편마암,165.2,V-CUT,120.65,133.97,0.032
에멀젼C,1.25,비전기,변성암,편마암,269,V-CUT,240.6,249.72,0.01
에멀젼C,1.575,비전기,변성암,편마암,269.5,V-CUT,214.74,231.63,0.011
에멀젼C,1.575,비전기,변성암,편마암,268.8,V-CUT,214.18,231.03,0.011
에멀젼C,1.125,비전기,변성암,편마암,278.2,V-CUT,262.29,267.49,0.008
에멀젼C,1.875,비전기,변성암,편마암,269.6,V-CUT,196.89,218.63,0.011
에멀젼C,1.5,비전기,변성암,편마암,236.7,V-CUT,193.26,206.78,0.007
에멀젼C,1.25,비전기,변성암,편마암,224.6,V-CUT,200.89,208.5,0.011
에멀젼C,0.625,비전기,변성암,편마암,238.5,V-CUT,301.68,278.95,0.01
에멀젼C,1.875,비전기,변성암,편마암,232.1,V-CUT,169.5,188.22,0.009
에멀젼C,1.875,비전기,변성암,편마암,232.7,V-CUT,169.94,188.71,0.009
에멀젼C,1.5,비전기,변성암,편마암,192.1,V-CUT,156.85,167.81,0.021
에멀젼C,1.5,비전기,변성암,편마암,192.8,V-CUT,157.42,168.43,0.023
에멀젼C,1,비전기,변성암,편마암,195,V-CUT,195,195,0.024
에멀젼C,1.25,비전기,변성암,편마암,190.4,V-CUT,170.3,176.75,0.024
에멀젼C,1.575,비전기,변성암,편마암,195.3,V-CUT,155.62,167.86,0.024
에멀젼C,1.25,비전기,변성암,편마암,158.8,V-CUT,142.04,147.42,0.026
에멀젼C,1,비전기,변성암,편마암,159.6,V-CUT,159.6,159.6,0.031
에멀젼C,1,비전기,변성암,편마암,160.5,V-CUT,160.5,160.5,0.044
에멀젼C,0.625,비전기,변성암,편마암,167.5,V-CUT,211.87,195.91,0.03
에멀젼C,1.125,비전기,변성암,편마암,166.7,V-CUT,157.17,160.28,0.032
에멀젼C,1.5,비전기,변성암,편마암,54.1,V-CUT,44.17,47.26,0.11
에멀젼C,1.5,비전기,변성암,편마암,51.5,V-CUT,42.05,44.99,0.11
에멀젼C,0.75,비전기,변성암,편마암,51,V-CUT,58.89,56.13,0.129
에멀젼C,1.125,비전기,변성암,편마암,62.3,V-CUT,58.74,59.9,0.128
에멀젼C,1.875,비전기,변성암,편마암,63.8,V-CUT,46.59,51.74,0.103
에멀젼C,2.5,비전기,변성암,편마암,82.2,V-CUT,51.99,60.57,0.111
에멀젼C,0.625,비전기,변성암,편마암,80.6,V-CUT,101.95,94.27,0.09
에멀젼C,0.75,비전기,변성암,편마암,80.4,V-CUT,92.84,88.49,0.09
에멀젼C,0.75,비전기,변성암,편마암,79.8,V-CUT,92.15,87.83,0.087
에멀젼C,1.125,비전기,변성암,편마암,92.4,V-CUT,87.12,88.84,0.073
에멀젼C,0.5,비전기,변성암,편마암,51,V-CUT,72.12,64.26,0.156
에멀젼C,0.5,비전기,변성암,편마암,52.1,V-CUT,73.68,65.64,0.285
에멀젼C,0.5,비전기,변성암,편마암,53.8,V-CUT,76.08,67.78,0.178
에멀젼C,0.5,비전기,변성암,편마암,47.4,V-CUT,67.03,59.72,0.187
에멀젼C,0.5,비전기,변성암,편마암,46.5,V-CUT,65.76,58.59,0.151
에멀젼C,0.5,비전기,변성암,편마암,20.1,V-CUT,28.43,25.32,0.574
에멀젼C,0.5,비전기,변성암,편마암,20.1,V-CUT,28.43,25.32,0.456
에멀젼C,0.5,비전기,변성암,편마암,19.8,V-CUT,28,24.95,0.479
에멀젼C,0.5,비전기,변성암,편마암,19.8,V-CUT,28,24.95,0.421
에멀젼C,0.5,비전기,변성암,편마암,18.1,V-CUT,25.6,22.8,0.417
에멀젼C,0.5,비전기,변성암,편마암,28.3,V-CUT,40.02,35.66,0.353
에멀젼C,0.5,비전기,변성암,편마암,28.8,V-CUT,40.73,36.29,0.38
에멀젼C,0.5,비전기,변성암,편마암,30.7,V-CUT,43.42,38.68,0.332
에멀젼C,0.5,비전기,변성암,편마암,31.3,V-CUT,44.26,39.44,0.281
에멀젼C,0.5,비전기,변성암,편마암,25,V-CUT,35.36,31.5,0.273
에멀젼C,0.5,비전기,변성암,편마암,44.8,V-CUT,63.36,56.44,0.248
에멀젼C,0.5,비전기,변성암,편마암,45.7,V-CUT,64.63,57.58,0.331
에멀젼C,0.5,비전기,변성암,편마암,47.5,V-CUT,67.18,59.85,0.282
에멀젼C,0.5,비전기,변성암,편마암,41.1,V-CUT,58.12,51.78,0.209
에멀젼C,0.5,비전기,변성암,편마암,40.8,V-CUT,57.7,51.4,0.205
에멀젼C,0.5,비전기,변성암,편마암,64.3,V-CUT,90.93,81.01,0.085
에멀젼C,0.5,비전기,변성암,편마암,64.3,V-CUT,90.93,81.01,0.045
에멀젼C,0.5,비전기,변성암,편마암,66,V-CUT,93.34,83.15,0.073
에멀젼C,0.5,비전기,변성암,편마암,65.6,V-CUT,92.77,82.65,0.061
에멀젼C,0.5,비전기,변성암,편마암,63.9,V-CUT,90.37,80.51,0.048
에멀젼C,0.5,비전기,변성암,편마암,80.6,V-CUT,113.99,101.55,0.048
에멀젼C,0.5,비전기,변성암,편마암,80.6,V-CUT,113.99,101.55,0.062
에멀젼C,0.5,비전기,변성암,편마암,79.5,V-CUT,112.43,100.16,0.046
에멀젼C,0.5,비전기,변성암,편마암,85.2,V-CUT,120.49,107.35,0.038
에멀젼C,0.5,비전기,변성암,편마암,83.4,V-CUT,117.95,105.08,0.036
