K,n,s,exp,det,rot,roc,cen
90.61017608642578,-1.6242777109146118,0.11702771618812703,1,1,0,8,0
119.87201690673828,-1.7337801456451416,0.07739423869309077,1,1,0,9,3
119.87201690673828,-1.7337801456451416,0.07739423869309077,1,1,0,9,0
31.19953536987305,-1.470911145210266,0.14212232988493428,1,1,0,0,1
39.17604064941406,-1.2060829401016235,0.034811473991767684,1,1,0,0,2
147.20870971679688,-1.7313190698623655,0.1019588263970917,1,1,0,0,3
217.25889587402344,-1.7453933954238892,0.10205149492650728,1,1,0,0,5
28.00518226623535,-1.3434605598449707,0.14407258493479294,1,1,0,0,6
70.34349822998047,-1.3308647871017456,0.10849067869024524,1,1,0,0,7
104.16444396972656,-1.654368877410889,0.11790827395161425,1,1,0,0,0
41.94456481933594,-1.7058782577514648,0.12966707476225012,1,2,1,0,1
4.204260349273682,-0.8430756330490112,0.3971751565632511,1,2,1,0,3
1.2467693090438845,-0.7028389573097229,0.08838454465900279,1,2,1,0,6
2.8699936866760254,-0.7548785209655762,0.5188898042494943,1,2,1,0,0
118.68739318847656,-1.6882572174072266,0.08629269370295098,1,2,2,0,3
164.45074462890625,-1.7567030191421509,0.08066944742297633,1,2,2,0,0
24.315128326416016,-1.3112179040908811,0.1694222211205534,1,2,3,0,1
32.02330780029297,-1.2910922765731812,0.3505007647655719,1,2,3,0,2
17.17618751525879,-1.140802979469299,0.18199255396335795,1,2,3,0,3
62.13892364501953,-1.4348267316818235,0.18551213990279547,1,2,3,0,4
413.3439636230469,-1.912728190422058,0.0475422167878778,1,2,3,0,6
8.398691177368164,-1.1266250610351562,0.2459044297411335,1,2,3,0,7
10.364105224609377,-1.0822482109069824,0.27969945604171875,1,2,3,0,0
13.382072448730467,-1.1997830867767334,0.1941949960871587,1,2,0,11,1
28.49596977233887,-1.2621244192123413,0.3622224190746773,1,2,0,11,2
3.597874641418457,-0.7939988374710083,0.3405917121277482,1,2,0,11,3
4.287844181060791,-0.92469984292984,0.3412341761740349,1,2,0,11,7
5.6202006340026855,-0.9638069868087769,0.4040151133311311,1,2,0,11,0
125.97396850585938,-1.7007627487182615,0.0851670475644349,1,2,0,5,3
165.3102264404297,-1.7577970027923584,0.08058972968484979,1,2,0,5,0
707.60791015625,-1.9822380542755127,0.05590455746644414,1,2,0,6,1
183.9277191162109,-1.7035059928894043,0.06583478529837092,1,2,0,6,3
440.27435302734375,-1.926483392715454,0.04702178466132032,1,2,0,6,6
280.5625,-1.8083130121231081,0.06056481159770748,1,2,0,6,0
97.38125610351562,-1.950798511505127,0.108426989062483,1,2,0,8,1
5.824789047241211,-0.9503686428070068,0.3348711417630559,1,2,0,8,3
1.4541561603546145,-0.747208297252655,0.08970377741103852,1,2,0,8,6
1.7055931091308594,-0.6284317374229431,0.8153492245603892,1,2,0,8,0
15.399961471557615,-1.0748182535171509,0.15337054342511064,1,2,0,9,3
15.399961471557615,-1.0748182535171509,0.15337054342511064,1,2,0,9,0
14.88713836669922,-1.2127869129180908,0.20761689381555892,1,2,0,0,1
29.08620643615723,-1.2672135829925537,0.36010550264075913,1,2,0,0,2
10.9043607711792,-1.0754141807556152,0.24192499675406756,1,2,0,0,3
61.72448348999024,-1.4332211017608645,0.18580415861427066,1,2,0,0,4
256.39434814453125,-1.8136307001113887,0.06402081901176604,1,2,0,0,6
7.853380680084228,-1.1064615249633791,0.2528219706465681,1,2,0,0,7
9.925880432128906,-1.07961905002594,0.28176753615634403,1,2,0,0,0
16.999992370605472,-1.4286241531372068,0.06478606452557084,1,3,1,0,1
4.823011875152588,-1.0077308416366575,0.2079568337843085,1,3,1,0,6
11.471879005432127,-1.3083789348602295,0.1255702343860235,1,3,1,0,0
38.29352569580078,-1.6334123611450195,0.14559583236206267,1,3,2,0,1
47.99856948852539,-1.687043309211731,0.13759107880602867,1,3,2,0,0
45.76459121704102,-1.52287495136261,0.14378667304986134,1,3,3,0,1
7.93598747253418,-1.1402989625930786,0.2402278894355701,1,3,3,0,3
181.40269470214844,-1.7717652320861816,0.12813004759838245,1,3,3,0,6
61.274169921875,-1.5755400657653809,0.1440252202890465,1,3,3,0,0
47.37993621826172,-1.5575990676879885,0.1560607294011009,1,3,0,11,1
12.888284683227539,-1.3274871110916138,0.0886536368595697,1,3,0,11,3
