,K,n,s,exp,det,rot,roc,cen
0,4.303897820679434,-1.5199348556632746,0.3390832565016871,0,0,0,0,6
0,3.3957153058114344,-1.2851590734547855,0.3438727288184457,0,0,1,0,6
0,3.8883396840499493,-1.4269575581708902,0.3415250019652528,0,0,2,0,6
0,4.992289380493655,-1.6683339787121603,0.3100666634977364,0,0,3,0,6
0,4.303897820679434,-1.5199348556632746,0.3390832565016871,0,0,0,0,6
0,4.911818670731599,-1.6423128860971998,0.3097364058297309,0,0,0,1,6
0,5.48364172916155,-1.7326677584182253,0.2943223005267554,0,0,0,2,6
0,5.841483673659875,-1.8396118335584248,0.271859478961492,0,0,0,3,6
0,6.046855704771427,-1.8994509429408348,0.25283444655947523,0,0,0,4,6
0,6.129335145050365,-1.927135337164176,0.22992614815226686,0,0,0,5,6
0,6.027540604208929,-1.9019798008012823,0.2039664408528147,0,0,0,6,6
0,4.819011548587763,-1.6475917786821082,0.24682762021558122,0,0,0,7,6
0,3.3649297493258303,-1.2842673308625725,0.34218192498354827,0,0,0,8,6
0,3.489246369773699,-1.2929918377175948,0.38093078391892143,0,0,0,9,6
0,4.109972946214074,-1.4432099733885086,0.3795665865438596,0,0,0,10,6
0,4.377297199897801,-1.5567744243268236,0.36988046128342184,0,0,0,11,6
0,3.389203157913705,-1.370333623265305,0.32807654224763505,0,0,0,0,7
0,3.3936316847616115,-1.407971132705617,0.2644917531079799,0,0,1,0,7
0,2.4331439574536056,-1.1840857412708952,0.37797424754863856,0,0,2,0,7
0,1.1959179590988545,-0.8177274300669821,0.521666367262736,0,0,3,0,7
0,3.389203157913705,-1.370333623265305,0.32807654224763505,0,0,0,0,7
0,4.332502121050047,-1.511172671745713,0.26554715838564746,0,0,0,1,7
0,4.721626673274828,-1.609601808920242,0.23646655145781628,0,0,0,2,7
0,4.977222514755318,-1.7025533109133775,0.21024088014389736,0,0,0,3,7
0,5.218492629401242,-1.7877820703564091,0.19219110311117527,0,0,0,4,7
0,5.356338918055749,-1.8400432046572264,0.18133757765150615,0,0,0,5,7
0,5.15149555863229,-1.7975532100514067,0.1826542209846788,0,0,0,6,7
0,4.620987665619437,-1.6800157050515192,0.19805993439790917,0,0,0,7,7
0,3.347241714934561,-1.4000467553363847,0.2692018410922722,0,0,0,8,7
0,2.2914649377465883,-1.125273566347216,0.36417203287172895,0,0,0,9,7
0,1.4951905141351796,-0.896816274427452,0.4695568248319565,0,0,0,10,7
0,1.1719316308872534,-0.8097128466185587,0.5212710945331259,0,0,0,11,7
0,4.596539512454701,-1.6258657930284326,0.30651324292736976,0,1,0,0,0
0,4.40471046342231,-1.589740134348639,0.3072540553978895,0,1,1,0,0
0,4.886597203471161,-1.72928206005773,0.23788382385486276,0,1,2,0,0
0,4.888904941375118,-1.6985550866979926,0.3360625000909334,0,1,3,0,0
0,4.596539512454701,-1.6258657930284326,0.30651324292736976,0,1,0,0,0
0,5.696800156720205,-1.8044877828471904,0.16584687059003236,0,1,0,1,0
0,5.562473723113921,-1.8831836757691036,0.13575875104653523,0,1,0,2,0
0,5.639939380898636,-1.9343572952720454,0.146979296540339,0,1,0,3,0
0,5.724113566200793,-1.9283836048232794,0.15706938087240366,0,1,0,4,0
0,5.810888394602409,-1.8951812406379012,0.143940401869645,0,1,0,5,0
0,5.355991647880778,-1.752314001487011,0.14722348580930916,0,1,0,6,0
0,3.5914730567274376,-1.4422331056487743,0.20056578212103696,0,1,0,7,0
0,4.331501361632082,-1.5863870712031025,0.3084752373045577,0,1,0,8,0
0,4.917483168745375,-1.7403061965866935,0.21579012765747707,0,1,0,9,0
0,5.019517359292221,-1.768773093371338,0.23383145390999965,0,1,0,10,0
0,4.666764087821061,-1.6924632841299392,0.3617711279382562,0,1,0,11,0
0,4.730711727037595,-1.6801323710594853,0.19999255716098913,0,1,0,0,1
0,3.399804328910009,-1.4215855282000578,0.21378205149975876,0,1,1,0,1
0,4.9619193277797,-1.8194377989413726,0.1611929493765782,0,1,2,0,1
0,5.970355302744617,-1.9919090864687923,0.16014599487911008,0,1,3,0,1
0,4.730711727037595,-1.6801323710594853,0.19999255716098913,0,1,0,0,1
0,5.583251130675176,-1.7987584070435825,0.06617698499147642,0,1,0,1,1
0,5.580543421850845,-1.8733540662758088,0.05354671980139683,0,1,0,2,1
0,5.7361809274086735,-1.9510566761402839,0.06217925066563832,0,1,0,3,1
0,5.832887349967633,-1.9459862971743034,0.11312647219887426,0,1,0,4,1
0,5.835842474923013,-1.880439699078557,0.12852264535849964,0,1,0,5,1
0,5.360832904776893,-1.7425796790045776,0.1647823520145538,0,1,0,6,1
0,3.415394873634244,-1.3971321765939881,0.2324219108850869,0,1,0,7,1
0,3.353160840760336,-1.4122804662755784,0.22116963815900104,0,1,0,8,1
0,4.932329246097709,-1.7469235238258067,0.07286172880064234,0,1,0,9,1
0,5.821355317384108,-1.9404802087755566,0.09326906739243412,0,1,0,10,1
0,5.934539876168825,-1.9821606546299515,0.163480077952243,0,1,0,11,1
0,4.9976443309712755,-1.4851348902244206,0.06783598798102386,0,1,0,0,2
0,4.019136831948306,-1.4516891884961287,0.15705081565666923,0,1,1,0,2
0,4.397128213020557,-1.5991967252891603,0.10011562744754549,0,1,2,0,2
0,5.026641390581313,-1.4876402194628258,0.06259913960516739,0,1,3,0,2
0,4.9976443309712755,-1.4851348902244206,0.06783598798102386,0,1,0,0,2
0,5.519360075416864,-1.6298643299165356,0.021970894877448365,0,1,0,1,2
0,5.4014368875033965,-1.749327547103526,0.07376013212700779,0,1,0,2,2
0,5.531588867329084,-1.8082602573600586,0.12947581680741235,0,1,0,3,2
0,5.769436207247264,-1.8228523413601188,0.16311285180151813,0,1,0,4,2
0,5.499897412767239,-1.7276458828076504,0.16783970884268715,0,1,0,5,2
0,5.02301391506353,-1.620614728315441,0.19830874656754596,0,1,0,6,2
0,3.3118390184069764,-1.2747550450941276,0.29875569171127525,0,1,0,7,2
0,3.4550679947735263,-1.3007364282738807,0.33080387696958036,0,1,0,8,2
0,4.77179500917492,-1.5610741432107014,0.13986194345350403,0,1,0,9,2
0,5.207061560351014,-1.5724136101759363,0.06373275140621432,0,1,0,10,2
0,4.954718741723603,-1.4894595056734823,0.07160346063034602,0,1,0,11,2
0,4.940822387277898,-1.6505613096547227,0.2764090021219938,0,1,0,0,3
0,4.848161162987125,-1.7025349413911852,0.2774224479509357,0,1,1,0,3
0,4.334553012163252,-1.6505383672940273,0.17333368766485763,0,1,2,0,3
0,5.2428819796290025,-1.7055760353321703,0.2929073395800422,0,1,3,0,3
0,4.940822387277898,-1.6505613096547227,0.2764090021219938,0,1,0,0,3
0,5.602553472109839,-1.7944923004769078,0.15781452179131827,0,1,0,1,3
0,5.55569363353167,-1.8853618711761264,0.14205952909332678,0,1,0,2,3
0,5.895645061827439,-1.9205790983573747,0.13782221367657155,0,1,0,3,3
0,6.193247280606838,-1.955237735727617,0.14095020960469998,0,1,0,4,3
0,6.215513622911895,-1.941754584606627,0.13935348327062969,0,1,0,5,3
0,5.348671791716663,-1.7518553887776391,0.14537634254072102,0,1,0,6,3
0,3.6824040323349307,-1.4742164761582874,0.20443632778808854,0,1,0,7,3
0,4.746576870382613,-1.6964065951991958,0.2804703234159184,0,1,0,8,3
0,4.938044225878134,-1.7504311254622973,0.20869744967101553,0,1,0,9,3
0,4.9928746361399705,-1.7208851951272575,0.23364075189619463,0,1,0,10,3
0,4.484656939453779,-1.609008786026148,0.3373569711680426,0,1,0,11,3
0,5.401751982486436,-1.7579883078081318,0.3501440910832885,0,1,0,0,4
0,4.642400255848969,-1.6697089179062112,0.2903326489157771,0,1,1,0,4
0,4.950185368129579,-1.7507671313820579,0.2514148038216411,0,1,2,0,4
0,4.486363334115455,-1.5908787320518452,0.36784379381011567,0,1,3,0,4
0,5.401751982486436,-1.7579883078081318,0.3501440910832885,0,1,0,0,4
