,File Name,K,n,s,# of elem
687,tun_0_a_1_a_a.csv,98.35827931391307,-1.662068403360918,0.26660501074526827,268
690,tun_0_a_2_0_2.csv,319.9160928371922,-1.7611566766663234,0.1697811787562755,35
695,tun_0_a_2_0_a.csv,319.9160928371922,-1.7611566766663234,0.1697811787562755,35
696,tun_0_a_2_10_0.csv,48.857743703417285,-1.483751285213735,0.34398009297283605,379
697,tun_0_a_2_10_1.csv,4.055195058714264,-0.7406635626491397,0.9880178725085688,59
698,tun_0_a_2_10_2.csv,33.708134215158616,-1.434771564471626,0.40066894465061237,135
701,tun_0_a_2_10_5.csv,139.15424721096753,-1.6625008894194484,0.34833972041695965,158
702,tun_0_a_2_10_6.csv,1.2166256994925708,-0.48705405818911623,0.6149343828466403,135
703,tun_0_a_2_10_a.csv,34.72317600891811,-1.4015215493950066,0.43932448702200433,866
704,tun_0_a_2_3_0.csv,171.89580477887733,-1.7195625861553572,0.30882601965910444,70
709,tun_0_a_2_3_5.csv,418.6244939369185,-1.8989247564962288,0.2572350228769374,47
711,tun_0_a_2_3_a.csv,260.9214230342427,-1.8038586915987973,0.2869846568695734,117
712,tun_0_a_2_5_0.csv,54.8921347974666,-1.4449203139287066,0.319161113381361,84
714,tun_0_a_2_5_2.csv,101.77973475868876,-1.5705374302514923,0.2052673896998289,171
717,tun_0_a_2_5_5.csv,418.0315084081909,-1.8978615054955292,0.20410467761715204,100
719,tun_0_a_2_5_a.csv,112.30960030083227,-1.5966183344969984,0.24351583718901362,355
720,tun_0_a_2_9_0.csv,41.72032130448102,-1.4661064998295532,0.21969650811677485,18
727,tun_0_a_2_9_a.csv,41.72032130448102,-1.4661064998295532,0.21969650811677485,18
728,tun_0_a_2_a_0.csv,57.70671420740475,-1.4996307579720216,0.3205245306185961,683
729,tun_0_a_2_a_1.csv,4.055195058714264,-0.7406635626491397,0.9880178725085688,59
730,tun_0_a_2_a_2.csv,26.223599227656976,-1.2830969858539543,0.41109821121566636,392
731,tun_0_a_2_a_3.csv,70.74840301786895,-1.4249233601371945,0.467735744207874,24
733,tun_0_a_2_a_5.csv,208.14994105457419,-1.747304190108718,0.29439441299294233,305
734,tun_0_a_2_a_6.csv,1.2166256994925708,-0.48705405818911623,0.6149343828466403,135
735,tun_0_a_2_a_a.csv,35.11606635884803,-1.3730068317227233,0.40673609675179867,1598
