K,n,s,exp,det,rot,roc,cen
182.48585510253903,-1.7408078908920288,0.11317409266901098,1,1,3,0,3
46.6571044921875,-1.4841585159301758,0.09921852170253152,1,1,3,0,6
104.63906860351562,-1.331505298614502,0.09995405706449484,1,1,3,0,7
161.20469665527344,-1.7162848711013794,0.12458854401699125,1,1,3,0,0
319.28228759765625,-1.7607438564300537,0.05703361581372205,1,1,0,1,3
319.6553649902344,-1.7609868049621582,0.057022357994894426,1,1,0,1,0
405.3653869628906,-2.034757137298584,0.0638801009488508,1,1,0,11,1
388.86029052734375,-1.6536111831665041,0.021555053703368767,1,1,0,11,2
82.8179702758789,-1.6304004192352295,0.14050718956727284,1,1,0,11,3
45.72430038452149,-1.4795535802841189,0.09970873073206547,1,1,0,11,6
103.88611602783205,-1.329721212387085,0.10011477970463267,1,1,0,11,7
144.32261657714844,-1.7207089662551882,0.1357975020374672,1,1,0,11,0
217.04827880859372,-1.8740389347076416,0.05418414941258118,1,1,0,2,3
237.2922821044922,-1.894255757331848,0.05330571130850864,1,1,0,2,0
228.9634246826172,-1.7459658384323118,0.052259050283100135,1,1,0,6,3
228.0596923828125,-1.7450613975524902,0.052295971786453614,1,1,0,6,0
43.48009872436523,-1.521052002906799,0.08733335811435115,1,1,0,7,3
35.12298583984375,-1.4767946004867554,0.09196317964547966,1,1,0,7,0
29.08107566833496,-1.3995510339736938,0.10611869075505287,1,1,0,8,1
129.50666809082028,-1.7033309936523438,0.11168781591897027,1,1,0,8,3
57.4537124633789,-1.3994894027709959,0.11951556370289908,1,1,0,8,6
81.54644012451172,-1.5890905857086182,0.12768677545593982,1,1,0,8,0
129.23320007324222,-1.7456907033920288,0.08325179065693022,1,1,0,9,3
129.30685424804688,-1.745821237564087,0.08324243053070385,1,1,0,9,0
109.94416046142578,-1.6993733644485474,0.0843333950769837,1,1,0,0,1
121.9493179321289,-1.3962498903274536,0.02629086202541181,1,1,0,0,2
125.73674011230469,-1.6999714374542236,0.10952725313875486,1,1,0,0,3
131.01800537109378,-1.6778619289398191,0.11581437264520407,1,1,0,0,5
30.996036529541016,-1.3080198764801023,0.14845077633935386,1,1,0,0,6
89.74540710449219,-1.2935740947723389,0.10350745473866203,1,1,0,0,7
101.54446411132812,-1.6395828723907468,0.12212958812975433,1,1,0,0,0
56.8203239440918,-1.7970397472381592,0.116827925955441,1,2,1,8,1
1.787200689315796,-0.6162027716636658,0.8116276961731056,1,2,1,8,3
0.8421018719673157,-0.5885096192359924,0.06460302271407309,1,2,1,8,6
0.7710421681404114,-0.4032168686389923,1.431492958200124,1,2,1,8,0
24.04128646850586,-1.1911942958831787,0.1255890477716038,1,2,1,9,3
24.07865333557129,-1.1915618181228638,0.1255304679931731,1,2,1,9,0
15.496636390686035,-1.4186992645263672,0.16562194709800973,1,2,1,0,1
3.123689889907837,-0.7551893591880798,0.5003768377145766,1,2,1,0,3
1.091014742851257,-0.6630346775054932,0.08399026737475854,1,2,1,0,6
2.1434872150421143,-0.6692423820495605,0.6833030143040196,1,2,1,0,0
121.19467163085938,-1.6454071998596191,0.08758787781730673,1,2,2,5,3
175.82696533203125,-1.7213373184204102,0.08110601729217214,1,2,2,5,0
181.87750244140625,-1.7282410860061646,0.08059533544598181,1,2,2,0,3
182.1822509765625,-1.7285826206207275,0.08057038686251007,1,2,2,0,0
22.56504821777344,-1.2897212505340576,0.16192135246528644,1,2,3,11,1
10.848654747009276,-1.006050705909729,0.5121111279687199,1,2,3,11,2
3.2196178436279297,-0.7738820910453796,0.3741367733890896,1,2,3,11,3
3.509651899337769,-0.8229198455810547,0.392245716050794,1,2,3,11,7
7.191685199737549,-1.0003024339675903,0.3606996979482972,1,2,3,11,0
522.3468017578125,-1.8999770879745483,0.06107164587588741,1,2,3,6,1
91.82666015625,-1.5543990135192869,0.08338822939160602,1,2,3,6,3
376.2956237792969,-1.8751225471496584,0.07042382718403252,1,2,3,6,6
157.8863983154297,-1.6766380071640017,0.08139387592560691,1,2,3,6,0
41.021968841552734,-1.402626633644104,0.14085425676215768,1,2,3,0,1
11.81518840789795,-1.02691650390625,0.4955358363466685,1,2,3,0,2
15.940597534179688,-1.1343528032302856,0.17958257904462732,1,2,3,0,3
68.91306304931639,-1.418790578842163,0.1823906698214776,1,2,3,0,4
368.5022277832031,-1.870598077774048,0.07067832995547497,1,2,3,0,6
5.729599475860597,-0.96292245388031,0.2965347355615078,1,2,3,0,7
13.651926040649414,-1.133099913597107,0.24865615189273035,1,2,3,0,0
22.29346466064453,-1.287049412727356,0.16250897148360172,1,2,0,11,1
10.829787254333496,-1.0056246519088743,0.5124608707694356,1,2,0,11,2
3.219613075256348,-0.7738817930221558,0.3741371232251791,1,2,0,11,3
3.509651899337769,-0.8229198455810547,0.392245716050794,1,2,0,11,7
7.191685199737549,-1.0003024339675903,0.3606996979482972,1,2,0,11,0
135.59968566894528,-1.6683244705200195,0.08545512828740652,1,2,0,5,3
177.6381378173828,-1.7234283685684204,0.08095004227447285,1,2,0,5,0
