뇌관,암종,SR SD,CR SD,최대입자속도
비전기,편마암,40.02,35.66,0.353
비전기,편마암,40.73,36.29,0.38
비전기,편마암,43.42,38.68,0.332
비전기,편마암,44.26,39.44,0.281
비전기,편마암,35.36,31.5,0.273
비전기,편마암,63.36,56.44,0.248
비전기,편마암,64.63,57.58,0.331
비전기,편마암,67.18,59.85,0.282
비전기,편마암,58.12,51.78,0.209
비전기,편마암,57.7,51.4,0.205
비전기,편마암,90.93,81.01,0.085
비전기,편마암,90.93,81.01,0.045
비전기,편마암,93.34,83.15,0.073
비전기,편마암,92.77,82.65,0.061
비전기,편마암,90.37,80.51,0.048
비전기,편마암,113.99,101.55,0.048
비전기,편마암,113.99,101.55,0.062
비전기,편마암,112.43,100.16,0.046
비전기,편마암,120.49,107.35,0.038
비전기,편마암,117.95,105.08,0.036000000000000004
비전기,편마암,143.97,128.26,0.04
비전기,편마암,144.11,128.39,0.037000000000000005
비전기,편마암,141.56,126.12,0.034
비전기,편마암,146.09,130.15,0.032
비전기,편마암,145.52,129.65,0.031
비전기,편마암,120.2,95.4,0.098
비전기,편마암,98.47,83.62,0.077
비전기,편마암,89.49,75.99,0.109
비전기,편마암,101.08,85.84,0.077
비전기,편마암,85.57,72.66,0.111
비전기,편마암,173.6,137.79,0.033
비전기,편마암,174.8,138.74,0.035
비전기,편마암,132.76,112.74,0.045
비전기,편마암,145.66,123.7,0.034
비전기,편마암,146.97,124.81,0.034
비전기,편마암,225.8,179.22,0.011000000000000001
비전기,편마암,228.8,181.6,0.01
비전기,편마암,186.16,158.09,0.009000000000000001
비전기,편마암,233.2,185.09,0.009000000000000001
비전기,편마암,182.24,154.76,0.013000000000000001
비전기,편마암,168.2,133.5,0.027999999999999997
비전기,편마암,170.4,135.25,0.028999999999999998
비전기,편마암,133.25,113.16,0.028999999999999998
비전기,편마암,167.8,133.18,0.026000000000000002
비전기,편마암,137.17,116.48,0.026000000000000002
비전기,편마암,216.4,171.76,0.008
비전기,편마암,209.8,166.52,0.008
비전기,편마암,173.42,147.27,0.013000000000000001
비전기,편마암,179.79,152.68,0.008
비전기,편마암,181.1,153.79,0.008
비전기,편마암,38.0,30.16,0.685
비전기,편마암,30.86,26.21,0.7490000000000001
비전기,편마암,30.54,25.93,0.951
비전기,편마암,35.44,30.09,0.677
비전기,편마암,30.37,25.79,0.9329999999999999
비전기,편마암,59.2,46.99,0.21899999999999997
비전기,편마암,44.58,37.86,0.23600000000000002
비전기,편마암,43.6,37.03,0.25
비전기,편마암,54.87,46.59,0.203
비전기,편마암,56.01,47.56,0.188
비전기,편마암,88.2,70.0,0.091
비전기,편마암,92.6,73.5,0.107
비전기,편마암,71.53,60.74,0.126
비전기,편마암,82.47,70.03,0.11800000000000001
비전기,편마암,83.61,71.0,0.094
