암석분류,SR SD,CR SD,최대입자속도
변성암,77.59,79.13,0.128
변성암,92.84,88.49,0.125
변성암,84.9,84.9,0.08900000000000001
변성암,136.84,146.41,0.021
변성암,132.93,142.22,0.042
변성암,116.11,130.33,0.047
변성암,163.67,166.92,0.039
변성암,120.65,133.97,0.032
변성암,240.6,249.72,0.01
변성암,214.74,231.63,0.011000000000000001
변성암,214.18,231.03,0.011000000000000001
변성암,262.29,267.49,0.008
변성암,196.89,218.63,0.011000000000000001
변성암,193.26,206.78,0.006999999999999999
변성암,200.89,208.5,0.011000000000000001
변성암,301.68,278.95,0.01
변성암,169.5,188.22,0.009000000000000001
변성암,169.94,188.71,0.009000000000000001
변성암,156.85,167.81,0.021
변성암,157.42,168.43,0.023
변성암,195.0,195.0,0.024
변성암,170.3,176.75,0.024
변성암,155.62,167.86,0.024
변성암,142.04,147.42,0.026000000000000002
변성암,159.6,159.6,0.031
변성암,160.5,160.5,0.044000000000000004
변성암,211.87,195.91,0.03
변성암,157.17,160.28,0.032
변성암,44.17,47.26,0.11
변성암,42.05,44.99,0.11
변성암,58.89,56.13,0.129
변성암,58.74,59.9,0.128
변성암,46.59,51.74,0.10300000000000001
변성암,51.99,60.57,0.111
변성암,101.95,94.27,0.09
변성암,92.84,88.49,0.09
변성암,92.15,87.83,0.087
변성암,87.12,88.84,0.073
변성암,72.12,64.26,0.156
변성암,73.68,65.64,0.285
변성암,76.08,67.78,0.17800000000000002
변성암,67.03,59.72,0.187
변성암,65.76,58.59,0.151
변성암,28.43,25.32,0.574
변성암,28.43,25.32,0.456
변성암,28.0,24.95,0.479
변성암,28.0,24.95,0.42100000000000004
변성암,25.6,22.8,0.41700000000000004
변성암,40.02,35.66,0.353
변성암,40.73,36.29,0.38
변성암,43.42,38.68,0.332
변성암,44.26,39.44,0.281
변성암,35.36,31.5,0.273
변성암,63.36,56.44,0.248
변성암,64.63,57.58,0.331
변성암,67.18,59.85,0.282
변성암,58.12,51.78,0.209
변성암,57.7,51.4,0.205
변성암,90.93,81.01,0.085
변성암,90.93,81.01,0.045
변성암,93.34,83.15,0.073
변성암,92.77,82.65,0.061
변성암,90.37,80.51,0.048
변성암,113.99,101.55,0.048
변성암,113.99,101.55,0.062
변성암,112.43,100.16,0.046
변성암,120.49,107.35,0.038
변성암,117.95,105.08,0.036000000000000004
변성암,143.97,128.26,0.04
변성암,144.11,128.39,0.037000000000000005
변성암,141.56,126.12,0.034
변성암,146.09,130.15,0.032
변성암,145.52,129.65,0.031
변성암,120.2,95.4,0.098
변성암,98.47,83.62,0.077
변성암,89.49,75.99,0.109
변성암,101.08,85.84,0.077
변성암,85.57,72.66,0.111
변성암,173.6,137.79,0.033
변성암,174.8,138.74,0.035
변성암,132.76,112.74,0.045
변성암,145.66,123.7,0.034
변성암,146.97,124.81,0.034
변성암,225.8,179.22,0.011000000000000001
변성암,228.8,181.6,0.01
변성암,186.16,158.09,0.009000000000000001
변성암,233.2,185.09,0.009000000000000001
변성암,182.24,154.76,0.013000000000000001
변성암,168.2,133.5,0.027999999999999997
변성암,170.4,135.25,0.028999999999999998
변성암,133.25,113.16,0.028999999999999998
변성암,167.8,133.18,0.026000000000000002
변성암,137.17,116.48,0.026000000000000002
변성암,216.4,171.76,0.008
변성암,209.8,166.52,0.008
변성암,173.42,147.27,0.013000000000000001
변성암,179.79,152.68,0.008
변성암,181.1,153.79,0.008
변성암,38.0,30.16,0.685
변성암,30.86,26.21,0.7490000000000001
변성암,30.54,25.93,0.951
변성암,35.44,30.09,0.677
변성암,30.37,25.79,0.9329999999999999
변성암,59.2,46.99,0.21899999999999997
변성암,44.58,37.86,0.23600000000000002
변성암,43.6,37.03,0.25
변성암,54.87,46.59,0.203
변성암,56.01,47.56,0.188
변성암,88.2,70.0,0.091
변성암,92.6,73.5,0.107
변성암,71.53,60.74,0.126
변성암,82.47,70.03,0.11800000000000001
변성암,83.61,71.0,0.094
변성암,232.5,183.28,0.03
변성암,229.23,180.71,0.037000000000000005
변성암,228.62,180.22,0.034
변성암,233.11,183.76,0.031
변성암,228.62,180.22,0.053
변성암,204.33,161.08,0.047
변성암,201.06,158.5,0.06
변성암,204.12,160.91,0.044000000000000004
변성암,204.94,161.56,0.055
변성암,200.45,158.02,0.065
변성암,231.23,204.6,0.018000000000000002
변성암,231.66,204.99,0.012
변성암,232.24,205.5,0.015
변성암,230.22,203.71,0.023
변성암,324.56,255.85,0.019
변성암,308.74,273.19,0.022000000000000002
변성암,437.44,344.84,0.019
변성암,438.25,345.48,0.019
변성암,439.07,346.13,0.018000000000000002
변성암,440.09,346.93,0.018000000000000002
변성암,470.51,370.91,0.006
변성암,470.71,371.07,0.005
변성암,469.28,369.94,0.006999999999999999
변성암,470.51,370.91,0.006
변성암,468.26,369.14,0.005
변성암,53.68,42.32,0.49200000000000005
변성암,53.48,42.16,0.502
변성암,51.44,40.55,0.47200000000000003
변성암,48.79,38.46,0.46
변성암,47.97,37.82,0.511
변성암,102.67,80.94,0.19399999999999998
변성암,102.06,80.46,0.204
변성암,100.84,79.49,0.17600000000000002
변성암,100.63,79.33,0.171
변성암,97.57,76.92,0.18100000000000002
변성암,155.34,122.46,0.07400000000000001
변성암,155.95,122.94,0.07200000000000001
변성암,151.05,119.08,0.102
변성암,149.83,118.11,0.07
변성암,148.6,117.15,0.085
변성암,361.25,266.17,0.016
변성암,357.5,263.41,0.013999999999999999
변성암,313.4,240.66,0.017
변성암,312.52,239.98,0.017
변성암,312.52,239.98,0.02
변성암,108.25,79.76,0.040999999999999995
변성암,110.75,81.6,0.039
변성암,109.25,80.5,0.036000000000000004
변성암,95.63,73.44,0.036000000000000004
변성암,89.01,68.35,0.044000000000000004
변성암,13.5,9.95,1.236
변성암,10.41,8.21,1.795
변성암,13.75,10.13,1.579
변성암,12.37,9.5,1.122
변성암,10.82,8.31,1.3780000000000001
변성암,87.25,64.29,0.057
변성암,95.5,70.37,0.055999999999999994
변성암,76.64,58.85,0.078
변성암,80.17,61.56,0.087
변성암,82.6,63.43,0.07
변성암,123.75,91.18,0.044000000000000004
변성암,120.5,88.79,0.045
변성암,124.0,91.36,0.040999999999999995
변성암,123.25,90.81,0.055999999999999994
변성암,115.51,88.7,0.061
변성암,162.0,119.36,0.055
변성암,164.0,120.84,0.049
변성암,161.5,118.99,0.045
변성암,146.21,112.27,0.044000000000000004
변성암,149.3,114.65,0.04
변성암,139.1,160.96,0.024
변성암,128.19,152.19,0.043
변성암,128.79,152.9,0.036000000000000004
변성암,128.55,152.61,0.04
변성암,128.49,152.54,0.03
변성암,180.78,214.62,0.018000000000000002
변성암,181.02,214.91,0.017
변성암,181.85,215.9,0.011000000000000001
변성암,180.3,214.05,0.019
변성암,181.38,215.33,0.012
변성암,37.35,44.34,0.526
변성암,38.37,45.55,0.36200000000000004
변성암,38.13,45.27,0.419
변성암,37.83,44.91,0.48
변성암,36.81,43.7,0.33
변성암,50.08,59.46,0.369
변성암,50.32,59.74,0.27899999999999997
변성암,49.78,59.1,0.37799999999999995
변성암,49.6,58.89,0.245
변성암,49.0,58.18,0.266
변성암,129.02,153.18,0.034
변성암,130.04,154.39,0.032
변성암,128.55,152.61,0.045
변성암,132.07,156.8,0.02
변성암,131.48,156.09,0.031
변성암,148.53,171.86,0.02
변성암,148.4,171.71,0.021
변성암,139.42,165.52,0.03
변성암,139.84,166.02,0.025
변성암,138.95,164.96,0.034
변성암,92.16,122.82,0.067
변성암,91.87,122.42,0.042
변성암,91.57,122.03,0.051
변성암,91.28,121.63,0.055999999999999994
변성암,92.88,123.77,0.046
변성암,129.56,172.65,0.013000000000000001
변성암,130.79,174.29,0.013999999999999999
변성암,130.49,173.89,0.017
변성암,130.15,173.44,0.017
변성암,131.0,174.57,0.012
변성암,37.82,50.4,0.28
변성암,37.57,50.06,0.294
변성암,37.23,49.61,0.341
변성암,36.98,49.27,0.345
변성암,36.85,49.1,0.268
변성암,93.05,124.0,0.026000000000000002
변성암,94.15,125.46,0.045
변성암,93.52,124.62,0.043
변성암,93.81,125.01,0.04
변성암,93.43,124.51,0.038
변성암,100.4,133.8,0.021
변성암,99.69,132.84,0.032
변성암,99.39,132.45,0.027000000000000003
변성암,100.07,133.35,0.021
변성암,100.32,133.69,0.013999999999999999
변성암,107.97,143.88,0.023
변성암,108.01,143.93,0.019
변성암,107.84,143.71,0.017
변성암,107.21,142.86,0.025
변성암,107.55,143.32,0.022000000000000002
변성암,118.7,121.05,0.031
변성암,134.81,131.84,0.038
변성암,132.56,129.64,0.043
변성암,132.35,129.43,0.037000000000000005
변성암,130.85,127.97,0.049
변성암,112.25,109.78,0.059000000000000004
변성암,111.18,108.73,0.045
변성암,109.04,106.64,0.057999999999999996
변성암,109.58,107.17,0.067
변성암,107.87,105.49,0.057
변성암,128.39,125.57,0.039
변성암,126.68,123.89,0.04
변성암,127.0,124.21,0.051
변성암,124.01,121.28,0.048
변성암,125.08,122.33,0.037000000000000005
변성암,154.26,150.87,0.02
변성암,153.3,149.93,0.03
변성암,153.3,149.93,0.021
변성암,153.19,149.82,0.027000000000000003
변성암,162.0,154.42,0.022000000000000002
변성암,87.78,89.52,0.065
변성암,99.21,97.02,0.055999999999999994
변성암,96.21,94.1,0.064
변성암,95.15,93.05,0.055
변성암,97.07,94.93,0.06
변성암,51.95,52.98,0.11800000000000001
변성암,59.23,57.92,0.09300000000000001
변성암,57.62,56.35,0.114
변성암,56.98,55.73,0.10099999999999999
변성암,59.7,56.9,0.091
변성암,69.96,71.34,0.10800000000000001
변성암,79.54,77.79,0.076
변성암,79.43,77.68,0.079
변성암,76.86,75.17,0.121
변성암,81.87,78.04,0.067
변성암,72.88,74.32,0.067
변성암,81.57,79.77,0.064
변성암,82.1,80.3,0.066
변성암,79.43,77.68,0.086
변성암,81.03,79.25,0.065
변성암,79.38,80.96,0.061
변성암,90.12,88.14,0.057999999999999996
변성암,89.16,87.2,0.075
변성암,87.55,85.63,0.059000000000000004
변성암,86.06,84.16,0.061
변성암,31.5,31.5,0.305
변성암,28.89,29.98,0.27899999999999997
변성암,30.68,31.84,0.195
변성암,29.96,31.1,0.22899999999999998
변성암,28.0,29.06,0.439
변성암,33.5,33.5,0.2
변성암,60.4,60.4,0.064
변성암,55.1,57.18,0.067
변성암,56.08,58.21,0.057
변성암,54.2,56.26,0.098
변성암,63.9,63.9,0.054000000000000006
변성암,62.2,62.2,0.057999999999999996
변성암,90.1,90.1,0.024
변성암,80.05,83.08,0.037000000000000005
변성암,80.95,84.01,0.026000000000000002
변성암,81.84,84.94,0.024
변성암,82.73,85.87,0.022000000000000002
변성암,91.7,91.7,0.025
변성암,119.9,119.9,0.012
변성암,107.69,111.77,0.013000000000000001
변성암,106.79,110.84,0.019
변성암,120.1,120.1,0.012
변성암,122.0,122.0,0.008
변성암,121.5,121.5,0.011000000000000001
변성암,149.7,149.7,0.012
변성암,133.63,138.69,0.013999999999999999
변성암,135.24,140.36,0.008
변성암,134.43,139.53,0.013000000000000001
변성암,149.9,149.9,0.013999999999999999
변성암,151.3,151.3,0.011000000000000001
변성암,273.0,253.43,0.009000000000000001
변성암,273.0,253.43,0.016
변성암,272.88,253.31,0.011000000000000001
변성암,272.88,253.31,0.017
변성암,272.88,253.31,0.013999999999999999
변성암,59.38,55.12,0.147
변성암,68.56,60.67,0.134
변성암,68.7,60.79,0.12
변성암,68.7,60.79,0.134
변성암,59.38,55.12,0.16899999999999998
변성암,87.88,81.58,0.081
변성암,87.88,81.58,0.09699999999999999
변성암,101.47,89.79,0.086
변성암,101.47,89.79,0.1
변성암,87.88,81.58,0.146
변성암,117.88,109.43,0.063
변성암,117.88,109.43,0.07
변성암,136.11,120.44,0.067
변성암,136.11,120.44,0.085
변성암,136.11,120.44,0.066
변성암,142.13,131.94,0.038
변성암,164.11,145.22,0.031
변성암,164.11,145.22,0.035
변성암,164.11,145.22,0.039
변성암,164.11,145.22,0.037000000000000005
변성암,166.63,154.68,0.03
변성암,192.4,170.25,0.025
변성암,192.4,170.25,0.027000000000000003
변성암,192.4,170.25,0.027000000000000003
변성암,166.63,154.68,0.027999999999999997
변성암,193.65,197.49,0.013999999999999999
변성암,192.99,196.82,0.018000000000000002
변성암,193.75,197.59,0.016
변성암,197.9,201.82,0.013999999999999999
변성암,180.85,188.93,0.018000000000000002
변성암,201.86,205.86,0.013000000000000001
변성암,202.61,206.63,0.013999999999999999
변성암,206.76,210.86,0.012
변성암,201.86,205.86,0.012
변성암,188.57,197.0,0.013000000000000001
변성암,31.84,34.07,0.15
변성암,35.07,35.77,0.21100000000000002
변성암,43.88,41.82,0.125
변성암,29.18,31.64,0.146
변성암,37.19,38.85,0.152
변성암,51.92,57.66,0.063
변성암,63.26,64.52,0.08
변성암,63.17,64.42,0.07400000000000001
변성암,63.26,64.52,0.055999999999999994
변성암,62.89,64.13,0.077
변성암,80.75,86.4,0.038
변성암,92.21,94.03,0.034
변성암,92.3,94.13,0.036000000000000004
변성암,96.45,98.36,0.034
변성암,119.05,113.48,0.024
변성암,105.25,112.6,0.025
변성암,208.7,177.22,0.018000000000000002
변성암,152.65,145.5,0.015
변성암,146.65,139.78,0.019
변성암,147.57,140.66,0.018000000000000002
변성암,131.86,141.08,0.018000000000000002
변성암,188.22,179.4,0.016
변성암,188.33,179.51,0.017
변성암,187.29,178.52,0.019
변성암,188.22,179.4,0.016
변성암,47.47,64.69,0.11800000000000001
변성암,40.07,57.79,0.122
변성암,40.07,57.79,0.131
변성암,40.03,57.74,0.258
변성암,47.43,64.63,0.122
변성암,59.29,80.79,0.10099999999999999
