화약,암석분류,암종,SR SD,CR SD,최대입자속도
정밀폭약,화성암,화강암,373.15,291.01,0.005
정밀폭약,화성암,화강암,101.19,78.92,0.09
정밀폭약,화성암,화강암,122.27,95.36,0.054000000000000006
정밀폭약,화성암,화강암,164.44,128.24,0.040999999999999995
정밀폭약,화성암,화강암,185.52,144.68,0.032
정밀폭약,화성암,화강암,206.6,161.13,0.037000000000000005
정밀폭약,화성암,화강암,65.35,50.97,0.076
정밀폭약,화성암,화강암,75.89,59.19,0.10800000000000001
정밀폭약,화성암,화강암,101.19,78.92,0.037000000000000005
정밀폭약,화성암,화강암,122.27,95.36,0.054000000000000006
정밀폭약,화성암,화강암,164.44,128.24,0.040999999999999995
정밀폭약,화성암,화강암,185.52,144.68,0.044000000000000004
정밀폭약,화성암,화강암,34.44,30.14,0.27
정밀폭약,화성암,화강암,34.44,30.14,0.11
정밀폭약,화성암,화강암,108.67,95.13,0.057
정밀폭약,화성암,화강암,148.62,130.1,0.024
정밀폭약,화성암,화강암,163.98,143.55,0.022000000000000002
정밀폭약,화성암,화강암,21.96,23.5,0.35700000000000004
정밀폭약,화성암,화강암,21.96,23.5,0.23
정밀폭약,화성암,화강암,30.29,32.41,0.11
정밀폭약,화성암,화강암,48.01,51.37,0.025
정밀폭약,화성암,화강암,59.6,63.77,0.099
정밀폭약,화성암,화강암,65.89,70.5,0.064
정밀폭약,화성암,화강암,81.0,86.66,0.11199999999999999
정밀폭약,화성암,화강암,166.08,177.69,0.034
정밀폭약,화성암,화강암,209.43,224.07,0.024
정밀폭약,화성암,화강암,70.65,59.31,0.204
정밀폭약,화성암,화강암,98.38,82.58,0.105
정밀폭약,화성암,화강암,138.1,115.93,0.023
정밀폭약,화성암,화강암,203.01,170.42,0.027999999999999997
정밀폭약,화성암,화강암,280.42,235.41,0.022000000000000002
정밀폭약,화성암,화강암,145.87,122.46,0.031
정밀폭약,화성암,화강암,203.18,170.56,0.031
정밀폭약,화성암,화강암,51.89,43.56,0.184
정밀폭약,화성암,화강암,57.13,47.96,0.14400000000000002
정밀폭약,화성암,화강암,76.4,64.14,0.111
정밀폭약,화성암,화강암,83.16,69.81,0.113
정밀폭약,화성암,화강암,90.43,75.92,0.092
정밀폭약,화성암,화강암,97.87,82.16,0.076
정밀폭약,화성암,화강암,105.14,88.26,0.087
정밀폭약,화성암,화강암,112.91,94.79,0.073
정밀폭약,화성암,화강암,61.84,47.49,0.16699999999999998
정밀폭약,화성암,화강암,83.93,64.45,0.079
정밀폭약,화성암,화강암,93.2,71.57,0.016
정밀폭약,화성암,화강암,128.1,98.37,0.079
정밀폭약,화성암,화강암,150.19,115.33,0.025
정밀폭약,화성암,화강암,172.27,132.28,0.018000000000000002
정밀폭약,화성암,화강암,194.36,149.24,0.013000000000000001
정밀폭약,화성암,화강암,12.08,11.95,1.65
정밀폭약,화성암,화강암,18.59,18.39,1.41
정밀폭약,화성암,화강암,28.92,28.61,0.521
정밀폭약,화성암,화강암,39.25,38.83,0.281
정밀폭약,화성암,화강암,49.57,49.04,0.086
정밀폭약,화성암,화강암,59.9,59.26,0.084
정밀폭약,화성암,화강암,70.23,69.48,0.062
정밀폭약,화성암,화강암,80.56,79.7,0.055999999999999994
