화약,뇌관,심발,SR SD,CR SD,최대입자속도
에멀젼C,비전기,Cylinder-cut,79.54,77.79,0.076
에멀젼C,비전기,Cylinder-cut,79.43,77.68,0.079
에멀젼C,비전기,Cylinder-cut,76.86,75.17,0.121
에멀젼C,비전기,Cylinder-cut,81.87,78.04,0.067
에멀젼C,비전기,Cylinder-cut,72.88,74.32,0.067
에멀젼C,비전기,Cylinder-cut,81.57,79.77,0.064
에멀젼C,비전기,Cylinder-cut,82.1,80.3,0.066
에멀젼C,비전기,Cylinder-cut,79.43,77.68,0.086
에멀젼C,비전기,Cylinder-cut,81.03,79.25,0.065
에멀젼C,비전기,Cylinder-cut,79.38,80.96,0.061
에멀젼C,비전기,Cylinder-cut,90.12,88.14,0.057999999999999996
에멀젼C,비전기,Cylinder-cut,89.16,87.2,0.075
에멀젼C,비전기,Cylinder-cut,87.55,85.63,0.059000000000000004
에멀젼C,비전기,Cylinder-cut,86.06,84.16,0.061
에멀젼C,비전기,Cylinder-cut,73.54,52.0,0.111
에멀젼C,비전기,Cylinder-cut,70.71,50.0,0.076
에멀젼C,비전기,Cylinder-cut,67.88,48.0,0.025
에멀젼C,비전기,Cylinder-cut,76.37,54.0,0.059000000000000004
에멀젼C,비전기,Cylinder-cut,84.85,60.0,0.055999999999999994
에멀젼C,비전기,Cylinder-cut,82.02,58.0,0.046
에멀젼C,비전기,Cylinder-cut,79.2,56.0,0.013999999999999999
에멀젼C,비전기,Cylinder-cut,87.68,62.0,0.049
에멀젼C,비전기,Cylinder-cut,113.14,80.0,0.040999999999999995
에멀젼C,비전기,Cylinder-cut,110.31,78.0,0.032
에멀젼C,비전기,Cylinder-cut,107.48,76.0,0.013999999999999999
에멀젼C,비전기,Cylinder-cut,115.97,82.0,0.024
에멀젼C,비전기,Cylinder-cut,155.56,110.0,0.037000000000000005
에멀젼C,비전기,Cylinder-cut,152.74,108.0,0.022000000000000002
에멀젼C,비전기,Cylinder-cut,149.91,106.0,0.013999999999999999
에멀젼C,비전기,Cylinder-cut,183.85,130.0,0.025
에멀젼C,비전기,Cylinder-cut,181.02,128.0,0.019
에멀젼C,비전기,Cylinder-cut,178.19,126.0,0.011000000000000001
에멀젼C,비전기,Cylinder-cut,186.68,132.0,0.018000000000000002
에멀젼C,비전기,Cylinder-cut,101.82,72.0,0.043
에멀젼C,비전기,Cylinder-cut,98.99,70.0,0.043
에멀젼C,비전기,Cylinder-cut,96.17,68.0,0.019
에멀젼C,비전기,Cylinder-cut,104.65,74.0,0.025
에멀젼C,비전기,Cylinder-cut,30.4,24.13,0.22899999999999998
에멀젼C,비전기,Cylinder-cut,30.4,24.13,0.317
에멀젼C,비전기,Cylinder-cut,28.0,22.22,0.267
에멀젼C,비전기,Cylinder-cut,28.0,22.22,0.305
에멀젼C,비전기,Cylinder-cut,28.0,22.22,0.762
에멀젼C,비전기,Cylinder-cut,28.0,22.22,0.698
에멀젼C,비전기,Cylinder-cut,40.0,31.75,0.13699999999999998
에멀젼C,비전기,Cylinder-cut,40.0,31.75,0.268
에멀젼C,비전기,Cylinder-cut,38.0,30.16,0.24100000000000002
에멀젼C,비전기,Cylinder-cut,38.0,30.16,0.243
에멀젼C,비전기,Cylinder-cut,38.0,30.16,0.32899999999999996
에멀젼C,비전기,Cylinder-cut,38.0,30.16,0.33
에멀젼C,비전기,Cylinder-cut,50.0,39.69,0.11699999999999999
에멀젼C,비전기,Cylinder-cut,50.0,39.69,0.151
에멀젼C,비전기,Cylinder-cut,48.0,38.1,0.135
에멀젼C,비전기,Cylinder-cut,48.0,38.1,0.129
에멀젼C,비전기,Cylinder-cut,48.0,38.1,0.24
에멀젼C,비전기,Cylinder-cut,48.0,38.1,0.221
에멀젼C,비전기,Cylinder-cut,55.0,43.65,0.163
에멀젼C,비전기,Cylinder-cut,55.0,43.65,0.038
에멀젼C,비전기,Cylinder-cut,52.0,41.27,0.115
에멀젼C,비전기,Cylinder-cut,52.0,41.27,0.109
에멀젼C,비전기,Cylinder-cut,52.0,41.27,0.185
에멀젼C,비전기,Cylinder-cut,52.0,41.27,0.24100000000000002
에멀젼C,비전기,Cylinder-cut,59.0,46.83,0.14400000000000002
에멀젼C,비전기,Cylinder-cut,59.0,46.83,0.054000000000000006
에멀젼C,비전기,Cylinder-cut,56.0,44.45,0.122
에멀젼C,비전기,Cylinder-cut,56.0,44.45,0.111
에멀젼C,비전기,Cylinder-cut,56.0,44.45,0.163
에멀젼C,비전기,Cylinder-cut,56.0,44.45,0.203
에멀젼C,비전기,Cylinder-cut,101.4,80.48,0.023
에멀젼C,비전기,Cylinder-cut,101.4,80.48,0.013000000000000001
에멀젼C,비전기,Cylinder-cut,96.0,76.2,0.025
에멀젼C,비전기,Cylinder-cut,96.0,76.2,0.038
에멀젼C,비전기,Cylinder-cut,96.0,76.2,0.051
에멀젼C,비전기,Cylinder-cut,96.0,76.2,0.08199999999999999
에멀젼C,비전기,Cylinder-cut,106.6,84.61,0.027000000000000003
에멀젼C,비전기,Cylinder-cut,106.6,84.61,0.021
에멀젼C,비전기,Cylinder-cut,104.0,82.54,0.032
에멀젼C,비전기,Cylinder-cut,104.0,82.54,0.035
에멀젼C,비전기,Cylinder-cut,104.0,82.54,0.038
에멀젼C,비전기,Cylinder-cut,104.0,82.54,0.048
에멀젼C,비전기,Cylinder-cut,129.0,102.39,0.019
에멀젼C,비전기,Cylinder-cut,129.0,102.39,0.011000000000000001
에멀젼C,비전기,Cylinder-cut,126.0,100.01,0.021
에멀젼C,비전기,Cylinder-cut,126.0,100.01,0.024
에멀젼C,비전기,Cylinder-cut,126.0,100.01,0.03
에멀젼C,비전기,Cylinder-cut,126.0,100.01,0.028999999999999998
