화약,암석분류,심발,SR SD,CR SD,최대입자속도
에멀젼C,화성암,Cylinder-cut,56.0,44.45,0.163
에멀젼C,화성암,Cylinder-cut,56.0,44.45,0.203
에멀젼C,화성암,Cylinder-cut,101.4,80.48,0.023
에멀젼C,화성암,Cylinder-cut,101.4,80.48,0.013000000000000001
에멀젼C,화성암,Cylinder-cut,96.0,76.2,0.025
에멀젼C,화성암,Cylinder-cut,96.0,76.2,0.038
에멀젼C,화성암,Cylinder-cut,96.0,76.2,0.051
에멀젼C,화성암,Cylinder-cut,96.0,76.2,0.08199999999999999
에멀젼C,화성암,Cylinder-cut,106.6,84.61,0.027000000000000003
에멀젼C,화성암,Cylinder-cut,106.6,84.61,0.021
에멀젼C,화성암,Cylinder-cut,104.0,82.54,0.032
에멀젼C,화성암,Cylinder-cut,104.0,82.54,0.035
에멀젼C,화성암,Cylinder-cut,104.0,82.54,0.038
에멀젼C,화성암,Cylinder-cut,104.0,82.54,0.048
에멀젼C,화성암,Cylinder-cut,129.0,102.39,0.019
에멀젼C,화성암,Cylinder-cut,129.0,102.39,0.011000000000000001
에멀젼C,화성암,Cylinder-cut,126.0,100.01,0.021
에멀젼C,화성암,Cylinder-cut,126.0,100.01,0.024
에멀젼C,화성암,Cylinder-cut,126.0,100.01,0.03
에멀젼C,화성암,Cylinder-cut,126.0,100.01,0.028999999999999998
에멀젼C,화성암,Cylinder-cut,30.02,22.71,0.24100000000000002
에멀젼C,화성암,Cylinder-cut,27.71,20.97,0.22899999999999998
에멀젼C,화성암,Cylinder-cut,32.33,24.46,0.17800000000000002
에멀젼C,화성암,Cylinder-cut,78.52,59.4,0.057999999999999996
에멀젼C,화성암,Cylinder-cut,76.21,57.66,0.102
에멀젼C,화성암,Cylinder-cut,80.83,61.15,0.079
에멀젼C,화성암,Cylinder-cut,92.38,69.89,0.04
에멀젼C,화성암,Cylinder-cut,90.07,68.14,0.084
에멀젼C,화성암,Cylinder-cut,94.69,71.63,0.052000000000000005
에멀젼C,화성암,Cylinder-cut,115.47,87.36,0.033
에멀젼C,화성암,Cylinder-cut,113.16,85.61,0.049
에멀젼C,화성암,Cylinder-cut,117.78,89.11,0.051
에멀젼C,화성암,Cylinder-cut,124.71,94.35,0.075
에멀젼C,화성암,Cylinder-cut,122.4,92.6,0.095
에멀젼C,화성암,Cylinder-cut,127.02,96.09,0.07
에멀젼C,화성암,Cylinder-cut,138.56,104.83,0.022000000000000002
에멀젼C,화성암,Cylinder-cut,136.25,103.08,0.024
에멀젼C,화성암,Cylinder-cut,140.87,106.58,0.024
에멀젼C,화성암,Cylinder-cut,242.49,183.45,0.011000000000000001
에멀젼C,화성암,Cylinder-cut,240.18,181.7,0.011000000000000001
에멀젼C,화성암,Cylinder-cut,244.8,185.2,0.002
에멀젼C,화성암,Cylinder-cut,256.34,193.93,0.016
에멀젼C,화성암,Cylinder-cut,254.03,192.19,0.016
에멀젼C,화성암,Cylinder-cut,258.65,195.68,0.027000000000000003
에멀젼C,화성암,Cylinder-cut,355.65,269.06,0.021
