화약,뇌관,SR SD,CR SD,최대입자속도
에멀젼C,비전기,229.23,180.71,0.037000000000000005
에멀젼C,비전기,228.62,180.22,0.034
에멀젼C,비전기,233.11,183.76,0.031
에멀젼C,비전기,228.62,180.22,0.053
에멀젼C,비전기,204.33,161.08,0.047
에멀젼C,비전기,201.06,158.5,0.06
에멀젼C,비전기,204.12,160.91,0.044000000000000004
에멀젼C,비전기,204.94,161.56,0.055
에멀젼C,비전기,200.45,158.02,0.065
에멀젼C,비전기,231.23,204.6,0.018000000000000002
에멀젼C,비전기,231.66,204.99,0.012
에멀젼C,비전기,232.24,205.5,0.015
에멀젼C,비전기,230.22,203.71,0.023
에멀젼C,비전기,324.56,255.85,0.019
에멀젼C,비전기,308.74,273.19,0.022000000000000002
에멀젼C,비전기,437.44,344.84,0.019
에멀젼C,비전기,438.25,345.48,0.019
에멀젼C,비전기,439.07,346.13,0.018000000000000002
에멀젼C,비전기,440.09,346.93,0.018000000000000002
에멀젼C,비전기,470.51,370.91,0.006
에멀젼C,비전기,470.71,371.07,0.005
에멀젼C,비전기,469.28,369.94,0.006999999999999999
에멀젼C,비전기,470.51,370.91,0.006
에멀젼C,비전기,468.26,369.14,0.005
에멀젼C,비전기,53.68,42.32,0.49200000000000005
에멀젼C,비전기,53.48,42.16,0.502
에멀젼C,비전기,51.44,40.55,0.47200000000000003
에멀젼C,비전기,48.79,38.46,0.46
에멀젼C,비전기,47.97,37.82,0.511
에멀젼C,비전기,102.67,80.94,0.19399999999999998
에멀젼C,비전기,102.06,80.46,0.204
에멀젼C,비전기,100.84,79.49,0.17600000000000002
에멀젼C,비전기,100.63,79.33,0.171
에멀젼C,비전기,97.57,76.92,0.18100000000000002
에멀젼C,비전기,155.34,122.46,0.07400000000000001
에멀젼C,비전기,155.95,122.94,0.07200000000000001
에멀젼C,비전기,151.05,119.08,0.102
에멀젼C,비전기,149.83,118.11,0.07
에멀젼C,비전기,148.6,117.15,0.085
에멀젼C,비전기,361.25,266.17,0.016
에멀젼C,비전기,357.5,263.41,0.013999999999999999
에멀젼C,비전기,313.4,240.66,0.017
에멀젼C,비전기,312.52,239.98,0.017
에멀젼C,비전기,312.52,239.98,0.02
에멀젼C,비전기,108.25,79.76,0.040999999999999995
에멀젼C,비전기,110.75,81.6,0.039
에멀젼C,비전기,109.25,80.5,0.036000000000000004
에멀젼C,비전기,95.63,73.44,0.036000000000000004
에멀젼C,비전기,89.01,68.35,0.044000000000000004
에멀젼C,비전기,13.5,9.95,1.236
에멀젼C,비전기,10.41,8.21,1.795
에멀젼C,비전기,13.75,10.13,1.579
에멀젼C,비전기,12.37,9.5,1.122
에멀젼C,비전기,10.82,8.31,1.3780000000000001
에멀젼C,비전기,87.25,64.29,0.057
에멀젼C,비전기,95.5,70.37,0.055999999999999994
에멀젼C,비전기,76.64,58.85,0.078
에멀젼C,비전기,80.17,61.56,0.087
에멀젼C,비전기,82.6,63.43,0.07
에멀젼C,비전기,123.75,91.18,0.044000000000000004
에멀젼C,비전기,120.5,88.79,0.045
에멀젼C,비전기,124.0,91.36,0.040999999999999995
에멀젼C,비전기,123.25,90.81,0.055999999999999994
에멀젼C,비전기,115.51,88.7,0.061
에멀젼C,비전기,162.0,119.36,0.055
에멀젼C,비전기,164.0,120.84,0.049
에멀젼C,비전기,161.5,118.99,0.045
에멀젼C,비전기,146.21,112.27,0.044000000000000004
에멀젼C,비전기,149.3,114.65,0.04
에멀젼C,비전기,139.1,160.96,0.024
에멀젼C,비전기,128.19,152.19,0.043
에멀젼C,비전기,128.79,152.9,0.036000000000000004
에멀젼C,비전기,128.55,152.61,0.04
에멀젼C,비전기,128.49,152.54,0.03
에멀젼C,비전기,180.78,214.62,0.018000000000000002
에멀젼C,비전기,181.02,214.91,0.017
에멀젼C,비전기,181.85,215.9,0.011000000000000001
에멀젼C,비전기,180.3,214.05,0.019
에멀젼C,비전기,181.38,215.33,0.012
에멀젼C,비전기,37.35,44.34,0.526
에멀젼C,비전기,38.37,45.55,0.36200000000000004
에멀젼C,비전기,38.13,45.27,0.419
에멀젼C,비전기,37.83,44.91,0.48
에멀젼C,비전기,36.81,43.7,0.33
에멀젼C,비전기,50.08,59.46,0.369
에멀젼C,비전기,50.32,59.74,0.27899999999999997
에멀젼C,비전기,49.78,59.1,0.37799999999999995
에멀젼C,비전기,49.6,58.89,0.245
에멀젼C,비전기,49.0,58.18,0.266
에멀젼C,비전기,129.02,153.18,0.034
에멀젼C,비전기,130.04,154.39,0.032
에멀젼C,비전기,128.55,152.61,0.045
에멀젼C,비전기,132.07,156.8,0.02
에멀젼C,비전기,131.48,156.09,0.031
에멀젼C,비전기,148.53,171.86,0.02
에멀젼C,비전기,148.4,171.71,0.021
