뇌관,암석분류,암종,SR SD,CR SD,최대입자속도
전기,변성암,편마암,86.83,61.4,0.1
전기,변성암,편마암,80.83,61.15,0.051
전기,변성암,편마암,63.05,47.7,0.311
전기,변성암,편마암,65.05,46.0,0.5
전기,변성암,편마암,91.64,64.8,0.2
전기,변성암,편마암,87.68,62.0,0.22
전기,변성암,편마암,68.03,50.48,0.15
전기,변성암,편마암,76.84,57.02,0.15
전기,변성암,편마암,92.25,68.46,0.5589999999999999
전기,변성암,편마암,64.11,47.58,0.44299999999999995
전기,변성암,편마암,56.53,41.95,0.079
전기,변성암,편마암,55.64,41.92,0.3
전기,변성암,편마암,45.58,37.94,0.4
전기,변성암,편마암,44.54,37.08,0.2
전기,변성암,편마암,60.65,50.5,0.3
전기,변성암,편마암,43.92,37.58,0.17
전기,변성암,편마암,51.27,43.86,0.2
전기,변성암,편마암,48.0,39.96,0.14400000000000002
전기,변성암,편마암,67.79,51.08,0.546
전기,변성암,편마암,67.32,47.6,0.28300000000000003
전기,변성암,편마암,113.99,80.6,0.05
전기,변성암,편마암,100.69,71.2,0.07
전기,변성암,편마암,98.99,70.0,0.07
전기,변성암,편마암,100.69,71.2,0.07
전기,변성암,편마암,115.97,82.0,0.02
전기,변성암,편마암,113.14,80.0,0.02
전기,변성암,편마암,113.14,80.0,0.05
전기,변성암,편마암,101.82,72.0,0.05
전기,변성암,편마암,100.41,71.0,0.07
전기,변성암,편마암,98.99,70.0,0.02
전기,변성암,편마암,119.64,84.6,0.02
전기,변성암,편마암,118.79,84.0,0.02
전기,변성암,편마암,97.02,68.6,0.05
전기,변성암,편마암,119.93,84.8,0.07
전기,변성암,편마암,117.66,83.2,0.07
전기,변성암,편마암,116.81,82.6,0.05
전기,변성암,편마암,102.67,72.6,0.02
전기,변성암,편마암,101.82,72.0,0.05
전기,변성암,편마암,92.49,65.4,0.04
전기,변성암,편마암,89.1,63.0,0.05
전기,변성암,편마암,100.69,71.2,0.053
전기,변성암,편마암,109.46,77.4,0.049
