뇌관,SR SD,CR SD,최대입자속도
전기,80.52,83.0,0.09699999999999999
전기,78.87,81.31,0.149
전기,84.8,84.8,0.153
전기,85.6,85.6,0.151
전기,88.91,94.04,0.125
전기,90.77,96.01,0.149
전기,96.4,99.37,0.157
전기,96.4,99.37,0.172
전기,89.67,94.84,0.237
전기,190.2,150.96,0.015
전기,216.39,163.71,0.012
전기,218.01,164.93,0.012
전기,225.86,170.87,0.012
전기,223.78,169.3,0.016
전기,224.94,170.17,0.017
전기,370.85,314.92,0.008
전기,370.53,314.65,0.011000000000000001
전기,369.55,313.82,0.012
전기,368.57,312.98,0.012
전기,367.59,312.15,0.013999999999999999
전기,360.56,306.19,0.013999999999999999
전기,93.73,79.6,0.12
전기,92.75,78.77,0.161
전기,126.56,95.74,0.087
전기,127.02,96.09,0.095
전기,125.86,95.22,0.081
전기,91.61,77.8,0.086
전기,76.91,65.31,0.139
전기,79.04,67.12,0.111
전기,76.91,65.31,0.131
전기,99.4,78.89,0.084
전기,102.77,77.75,0.09699999999999999
전기,75.44,64.07,0.105
전기,89.81,76.27,0.084
전기,87.53,74.33,0.109
전기,87.69,74.47,0.15
전기,116.86,88.41,0.09
전기,114.55,86.66,0.106
전기,85.24,72.39,0.079
전기,164.24,158.24,0.021
전기,169.63,161.68,0.022000000000000002
전기,134.1,138.24,0.027999999999999997
전기,207.17,199.61,0.022000000000000002
전기,206.72,199.18,0.023
전기,213.97,203.95,0.021
전기,98.15,93.55,0.182
전기,98.15,93.55,0.157
전기,77.59,79.99,0.223
전기,127.02,121.07,0.094
전기,122.98,118.49,0.07
전기,127.02,121.07,0.06
전기,151.05,145.53,0.031
전기,151.05,145.53,0.037000000000000005
전기,156.0,148.7,0.024
전기,179.11,172.57,0.028999999999999998
전기,184.98,176.32,0.017
전기,184.98,176.32,0.013999999999999999
전기,206.95,199.39,0.016
전기,206.95,199.39,0.015
전기,213.74,203.73,0.016
전기,242.6,231.24,0.015
전기,234.9,226.32,0.019
전기,242.6,231.24,0.016
전기,163.79,157.81,0.021
전기,169.16,161.24,0.015
전기,169.16,161.24,0.012
전기,208.29,200.69,0.021
전기,208.29,200.69,0.019
전기,215.12,205.05,0.019
전기,78.51,80.93,0.213
전기,96.15,92.64,0.18899999999999997
전기,99.3,94.66,0.175
전기,124.1,119.57,0.061
전기,124.1,119.57,0.069
전기,101.33,104.45,0.091
전기,27.9,27.29,0.616
전기,21.54,22.21,0.5589999999999999
전기,21.96,23.5,0.35700000000000004
전기,16.4,18.09,0.5329999999999999
전기,27.9,27.29,0.319
전기,21.54,22.21,0.33
전기,21.96,23.5,0.23
전기,16.4,18.09,0.36200000000000004
전기,39.02,38.16,0.155
전기,31.77,32.75,0.14400000000000002
전기,30.29,32.41,0.11
전기,25.19,27.79,0.099
전기,62.43,61.06,0.094
전기,52.31,53.92,0.068
전기,48.01,51.37,0.025
전기,42.26,46.61,0.071
전기,77.72,76.01,0.09699999999999999
전기,65.64,67.66,0.154
전기,59.6,63.77,0.099
전기,53.22,58.7,0.153
전기,86.06,84.16,0.076
전기,72.94,75.19,0.091
전기,65.89,70.5,0.064
전기,59.26,65.35,0.13
전기,105.84,103.51,0.21
전기,89.83,92.6,0.28800000000000003
전기,81.0,86.66,0.11199999999999999
전기,73.12,80.65,0.195
전기,217.34,212.55,0.078
전기,185.5,191.22,0.042
전기,166.08,177.69,0.034
전기,151.38,166.96,0.042
전기,274.1,268.07,0.059000000000000004
전기,234.06,241.28,0.039
전기,209.43,224.07,0.024
전기,191.11,210.78,0.037000000000000005
