화약,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,퇴적암,83.8,90.63,0.12
에멀젼C,퇴적암,62.79,74.76,0.134
에멀젼C,퇴적암,66.88,78.22,0.1
에멀젼C,퇴적암,85.63,100.15,0.028999999999999998
에멀젼C,퇴적암,80.56,95.92,0.028999999999999998
에멀젼C,퇴적암,85.63,100.15,0.034
에멀젼C,퇴적암,84.38,98.69,0.044000000000000004
에멀젼C,퇴적암,121.09,126.18,0.032
에멀젼C,퇴적암,101.25,118.42,0.013000000000000001
에멀젼C,퇴적암,101.25,118.42,0.013000000000000001
에멀젼C,퇴적암,128.07,138.51,0.011000000000000001
에멀젼C,퇴적암,103.93,120.25,0.013000000000000001
에멀젼C,퇴적암,101.25,118.42,0.01
에멀젼C,퇴적암,95.6,110.62,0.087
에멀젼C,퇴적암,95.6,110.62,0.067
에멀젼C,퇴적암,87.73,104.46,0.07
에멀젼C,퇴적암,91.25,106.73,0.059000000000000004
에멀젼C,퇴적암,91.88,107.46,0.09
에멀젼C,퇴적암,61.24,65.52,0.375
에멀젼C,퇴적암,55.5,61.63,0.442
에멀젼C,퇴적암,55.87,62.04,0.409
에멀젼C,퇴적암,48.07,56.0,0.409
에멀젼C,퇴적암,49.14,57.25,0.342
에멀젼C,퇴적암,83.94,89.8,0.10800000000000001
에멀젼C,퇴적암,74.49,82.72,0.159
에멀젼C,퇴적암,74.49,82.72,0.146
에멀젼C,퇴적암,63.88,74.42,0.203
에멀젼C,퇴적암,58.77,70.58,0.165
에멀젼C,퇴적암,104.18,111.47,0.083
에멀젼C,퇴적암,92.02,102.18,0.114
에멀젼C,퇴적암,92.75,102.99,0.114
에멀젼C,퇴적암,91.29,101.37,0.127
에멀젼C,퇴적암,80.51,93.8,0.102
에멀젼C,퇴적암,124.11,132.78,0.046
에멀젼C,퇴적암,96.51,112.44,0.055999999999999994
에멀젼C,퇴적암,95.5,111.26,0.075
에멀젼C,퇴적암,88.1,105.81,0.044000000000000004
에멀젼C,퇴적암,107.9,121.12,0.044000000000000004
에멀젼C,퇴적암,145.01,155.15,0.03
에멀젼C,퇴적암,144.52,154.62,0.03
에멀젼C,퇴적암,127.8,141.92,0.054000000000000006
에멀젼C,퇴적암,128.53,142.73,0.043
에멀젼C,퇴적암,111.63,130.05,0.037000000000000005
에멀젼C,퇴적암,115.97,130.17,0.084
에멀젼C,퇴적암,141.15,148.39,0.084
에멀젼C,퇴적암,120.43,133.73,0.057
에멀젼C,퇴적암,147.13,152.71,0.06
에멀젼C,퇴적암,133.09,142.39,0.087
에멀젼C,퇴적암,163.3,174.72,0.064
에멀젼C,퇴적암,145.33,161.38,0.079
에멀젼C,퇴적암,141.42,158.74,0.019
에멀젼C,퇴적암,156.5,169.69,0.022000000000000002
에멀젼C,퇴적암,156.5,169.69,0.022000000000000002
에멀젼C,퇴적암,225.35,241.11,0.016
에멀젼C,퇴적암,226.82,242.68,0.011000000000000001
에멀젼C,퇴적암,226.82,242.68,0.008
에멀젼C,퇴적암,226.17,241.98,0.011000000000000001
에멀젼C,퇴적암,226.17,241.98,0.013000000000000001
