화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,169.28,179.05,0.011000000000000001
에멀젼C,전기,화성암,163.45,172.88,0.015
에멀젼C,전기,화성암,62.85,67.97,0.087
에멀젼C,전기,화성암,63.17,68.31,0.1
에멀젼C,전기,화성암,65.7,71.05,0.055
에멀젼C,전기,화성암,61.66,66.69,0.095
에멀젼C,전기,화성암,71.33,75.45,0.07200000000000001
에멀젼C,전기,화성암,67.87,71.78,0.084
에멀젼C,전기,화성암,77.87,84.22,0.064
에멀젼C,전기,화성암,77.71,84.05,0.065
에멀젼C,전기,화성암,79.14,85.58,0.054000000000000006
에멀젼C,전기,화성암,77.55,83.87,0.057999999999999996
에멀젼C,전기,화성암,77.55,83.87,0.059000000000000004
에멀젼C,전기,화성암,87.14,92.16,0.057
에멀젼C,전기,화성암,97.79,105.76,0.053
에멀젼C,전기,화성암,98.03,106.02,0.048
에멀젼C,전기,화성암,97.32,105.25,0.043
에멀젼C,전기,화성암,100.4,108.58,0.038
에멀젼C,전기,화성암,108.94,115.22,0.028999999999999998
에멀젼C,전기,화성암,102.26,108.16,0.04
에멀젼C,전기,화성암,73.6,58.42,0.27
에멀젼C,전기,화성암,75.06,56.78,0.297
에멀젼C,전기,화성암,74.82,56.61,0.342
에멀젼C,전기,화성암,75.98,57.48,0.17
에멀젼C,전기,화성암,55.03,46.73,0.314
에멀젼C,전기,화성암,108.8,86.35,0.10400000000000001
에멀젼C,전기,화성암,121.47,91.9,0.094
에멀젼C,전기,화성암,129.33,97.84,0.079
에멀젼C,전기,화성암,134.18,101.51,0.059000000000000004
에멀젼C,전기,화성암,95.2,80.85,0.087
에멀젼C,전기,화성암,178.8,141.91,0.024
에멀젼C,전기,화성암,212.0,160.39,0.026000000000000002
에멀젼C,전기,화성암,210.39,159.17,0.033
에멀젼C,전기,화성암,215.01,162.66,0.022000000000000002
에멀젼C,전기,화성암,213.39,161.44,0.023
에멀젼C,전기,화성암,78.0,61.91,0.179
에멀젼C,전기,화성암,82.68,62.55,0.147
에멀젼C,전기,화성암,92.38,69.89,0.11599999999999999
에멀젼C,전기,화성암,80.37,60.8,0.154
에멀젼C,전기,화성암,82.91,62.72,0.146
에멀젼C,전기,화성암,43.8,34.76,0.41
에멀젼C,전기,화성암,43.88,33.2,0.537
에멀젼C,전기,화성암,42.49,32.15,0.49200000000000005
에멀젼C,전기,화성암,42.03,31.8,0.439
에멀젼C,전기,화성암,40.66,34.53,0.446
에멀젼C,전기,화성암,142.4,113.02,0.038
에멀젼C,전기,화성암,158.42,119.86,0.05
에멀젼C,전기,화성암,155.65,117.76,0.047
에멀젼C,전기,화성암,153.81,116.36,0.051
에멀젼C,전기,화성암,122.64,104.14,0.043
에멀젼C,전기,화성암,29.41,31.81,0.509
에멀젼C,전기,화성암,30.52,33.0,0.321
에멀젼C,전기,화성암,28.07,30.35,0.336
에멀젼C,전기,화성암,28.86,31.21,0.325
에멀젼C,전기,화성암,31.68,32.65,0.369
에멀젼C,전기,화성암,42.45,45.91,0.245
에멀젼C,전기,화성암,49.39,50.91,0.209
에멀젼C,전기,화성암,49.3,50.82,0.237
에멀젼C,전기,화성암,46.23,48.9,0.16699999999999998
에멀젼C,전기,화성암,53.0,53.0,0.17300000000000001
에멀젼C,전기,화성암,81.34,83.85,0.141
에멀젼C,전기,화성암,88.8,88.8,0.10400000000000001
