화약,뇌관,암종,심발,SR SD,CR SD,최대입자속도
에멀젼C,전자,화강암,Cylinder-cut,161.26,127.12,0.024
에멀젼C,전자,화강암,Cylinder-cut,165.34,130.34,0.006
에멀젼C,전자,화강암,Cylinder-cut,225.0,165.78,0.018000000000000002
에멀젼C,전자,화강암,Cylinder-cut,181.67,143.21,0.013000000000000001
에멀젼C,전자,화강암,Cylinder-cut,185.75,146.43,0.005
에멀젼C,전자,화강암,Cylinder-cut,250.0,184.2,0.016
에멀젼C,전자,화강암,Cylinder-cut,202.08,159.31,0.008
에멀젼C,전자,화강암,Cylinder-cut,206.17,162.52,0.006
에멀젼C,전자,화강암,Cylinder-cut,100.0,73.68,0.076
에멀젼C,전자,화강암,Cylinder-cut,79.61,62.76,0.10300000000000001
에멀젼C,전자,화강암,Cylinder-cut,83.69,65.98,0.071
에멀젼C,전자,화강암,Cylinder-cut,125.0,92.1,0.04
에멀젼C,전자,화강암,Cylinder-cut,100.02,78.85,0.051
에멀젼C,전자,화강암,Cylinder-cut,104.1,82.07,0.038
에멀젼C,전자,화강암,Cylinder-cut,150.0,110.52,0.032
에멀젼C,전자,화강암,Cylinder-cut,120.43,94.94,0.055999999999999994
에멀젼C,전자,화강암,Cylinder-cut,124.52,98.16,0.028999999999999998
에멀젼C,전자,화강암,Cylinder-cut,175.0,128.94,0.024
에멀젼C,전자,화강암,Cylinder-cut,140.85,111.03,0.052000000000000005
에멀젼C,전자,화강암,Cylinder-cut,144.93,114.25,0.037000000000000005
에멀젼C,전자,화강암,Cylinder-cut,200.0,147.36,0.024
에멀젼C,전자,화강암,Cylinder-cut,161.26,127.12,0.04
에멀젼C,전자,화강암,Cylinder-cut,165.34,130.34,0.028999999999999998
에멀젼C,전자,화강암,Cylinder-cut,225.0,165.78,0.018000000000000002
에멀젼C,전자,화강암,Cylinder-cut,181.67,143.21,0.024
에멀젼C,전자,화강암,Cylinder-cut,185.75,146.43,0.019
에멀젼C,전자,화강암,Cylinder-cut,255.0,187.89,0.01
에멀젼C,전자,화강암,Cylinder-cut,206.17,162.52,0.016
에멀젼C,전자,화강암,Cylinder-cut,210.25,165.74,0.013999999999999999
에멀젼C,전자,화강암,Cylinder-cut,310.0,228.41,0.01
에멀젼C,전자,화강암,Cylinder-cut,251.07,197.93,0.013999999999999999
에멀젼C,전자,화강암,Cylinder-cut,255.16,201.14,0.01
에멀젼C,전자,화강암,Cylinder-cut,262.5,193.41,0.01
에멀젼C,전자,화강암,Cylinder-cut,212.29,167.35,0.028999999999999998
에멀젼C,전자,화강암,Cylinder-cut,216.37,170.57,0.027000000000000003
에멀젼C,전자,화강암,Cylinder-cut,80.0,63.5,0.051
에멀젼C,전자,화강암,Cylinder-cut,78.0,61.91,0.151
에멀젼C,전자,화강암,Cylinder-cut,82.0,65.08,0.081
에멀젼C,전자,화강암,Cylinder-cut,110.0,87.31,0.021
에멀젼C,전자,화강암,Cylinder-cut,108.0,85.72,0.051
에멀젼C,전자,화강암,Cylinder-cut,112.0,88.89,0.033
에멀젼C,전자,화강암,Cylinder-cut,140.0,111.12,0.016
에멀젼C,전자,화강암,Cylinder-cut,138.0,109.53,0.037000000000000005
에멀젼C,전자,화강암,Cylinder-cut,142.0,112.71,0.018000000000000002
에멀젼C,전자,화강암,Cylinder-cut,170.0,134.93,0.019
에멀젼C,전자,화강암,Cylinder-cut,168.0,133.34,0.028999999999999998
에멀젼C,전자,화강암,Cylinder-cut,172.0,136.52,0.003
에멀젼C,전자,화강암,Cylinder-cut,200.0,158.74,0.013999999999999999
에멀젼C,전자,화강암,Cylinder-cut,198.0,157.15,0.018000000000000002
에멀젼C,전자,화강암,Cylinder-cut,202.0,160.33,0.006
에멀젼C,전자,화강암,Cylinder-cut,272.0,215.89,0.006
에멀젼C,전자,화강암,Cylinder-cut,270.0,214.3,0.013999999999999999
에멀젼C,전자,화강암,Cylinder-cut,274.0,217.47,0.006
에멀젼C,전자,화강암,Cylinder-cut,358.0,284.14,0.006
에멀젼C,전자,화강암,Cylinder-cut,356.0,282.56,0.008
에멀젼C,전자,화강암,Cylinder-cut,360.0,285.73,0.005
에멀젼C,전자,화강암,Cylinder-cut,100.0,79.37,0.067
에멀젼C,전자,화강암,Cylinder-cut,98.0,77.78,0.13
에멀젼C,전자,화강암,Cylinder-cut,102.0,80.96,0.040999999999999995
에멀젼C,전자,화강암,Cylinder-cut,120.0,95.24,0.075
에멀젼C,전자,화강암,Cylinder-cut,118.0,93.66,0.094
에멀젼C,전자,화강암,Cylinder-cut,122.0,96.83,0.040999999999999995
에멀젼C,전자,화강암,Cylinder-cut,160.0,126.99,0.043
에멀젼C,전자,화강암,Cylinder-cut,158.0,125.4,0.055999999999999994
에멀젼C,전자,화강암,Cylinder-cut,162.0,128.58,0.043
에멀젼C,전자,화강암,Cylinder-cut,180.0,142.87,0.038
에멀젼C,전자,화강암,Cylinder-cut,178.0,141.28,0.048
에멀젼C,전자,화강암,Cylinder-cut,182.0,144.45,0.027000000000000003
에멀젼C,전자,화강암,Cylinder-cut,200.0,158.74,0.035
에멀젼C,전자,화강암,Cylinder-cut,198.0,157.15,0.037000000000000005
에멀젼C,전자,화강암,Cylinder-cut,202.0,160.33,0.016
에멀젼C,전자,화강암,Cylinder-cut,66.0,52.38,0.08900000000000001
에멀젼C,전자,화강암,Cylinder-cut,64.0,50.8,0.177
에멀젼C,전자,화강암,Cylinder-cut,68.0,53.97,0.102
에멀젼C,전자,화강암,Cylinder-cut,76.0,60.32,0.033
에멀젼C,전자,화강암,Cylinder-cut,74.0,58.73,0.083
에멀젼C,전자,화강암,Cylinder-cut,78.0,61.91,0.065
에멀젼C,전자,화강암,Cylinder-cut,80.0,63.5,0.043
에멀젼C,전자,화강암,Cylinder-cut,78.0,61.91,0.095
에멀젼C,전자,화강암,Cylinder-cut,80.11,62.48,0.083
에멀젼C,전자,화강암,Cylinder-cut,82.0,65.08,0.095
에멀젼C,전자,화강암,Cylinder-cut,100.0,79.37,0.028999999999999998
에멀젼C,전자,화강암,Cylinder-cut,98.0,77.78,0.06
에멀젼C,전자,화강암,Cylinder-cut,102.0,80.96,0.065
에멀젼C,전자,화강암,Cylinder-cut,120.0,95.24,0.027000000000000003
에멀젼C,전자,화강암,Cylinder-cut,118.0,93.66,0.059000000000000004
에멀젼C,전자,화강암,Cylinder-cut,122.0,96.83,0.052000000000000005
에멀젼C,전자,화강암,Cylinder-cut,160.0,126.99,0.027000000000000003
에멀젼C,전자,화강암,Cylinder-cut,158.0,125.4,0.06
에멀젼C,전자,화강암,Cylinder-cut,162.0,128.58,0.054000000000000006
에멀젼C,전자,화강암,Cylinder-cut,180.0,142.87,0.019
에멀젼C,전자,화강암,Cylinder-cut,178.0,141.28,0.062
에멀젼C,전자,화강암,Cylinder-cut,182.0,144.45,0.027000000000000003
에멀젼C,전자,화강암,Cylinder-cut,55.11,43.45,0.168
에멀젼C,전자,화강암,Cylinder-cut,53.07,41.84,0.17600000000000002
에멀젼C,전자,화강암,Cylinder-cut,61.24,48.27,0.19
에멀젼C,전자,화강암,Cylinder-cut,71.44,56.32,0.122
에멀젼C,전자,화강암,Cylinder-cut,65.32,51.49,0.196
에멀젼C,전자,화강암,Cylinder-cut,85.73,67.58,0.184
에멀젼C,전자,화강암,Cylinder-cut,53.4,45.35,0.205
에멀젼C,전자,화강암,Cylinder-cut,51.77,43.96,0.27
에멀젼C,전자,화강암,Cylinder-cut,53.89,45.76,0.222
에멀젼C,전자,화강암,Cylinder-cut,58.46,49.64,0.149
에멀젼C,전자,화강암,Cylinder-cut,56.83,48.26,0.233
에멀젼C,전자,화강암,Cylinder-cut,60.09,51.03,0.179
에멀젼C,전자,화강암,Cylinder-cut,77.08,65.45,0.11
에멀젼C,전자,화강암,Cylinder-cut,75.44,64.07,0.13699999999999998
에멀젼C,전자,화강암,Cylinder-cut,78.38,66.56,0.122
에멀젼C,전자,화강암,Cylinder-cut,83.61,71.0,0.083
에멀젼C,전자,화강암,Cylinder-cut,81.98,69.61,0.102
에멀젼C,전자,화강암,Cylinder-cut,84.92,72.11,0.09699999999999999
에멀젼C,전자,화강암,Cylinder-cut,90.63,76.96,0.076
에멀젼C,전자,화강암,Cylinder-cut,89.0,75.58,0.098
에멀젼C,전자,화강암,Cylinder-cut,92.26,78.35,0.091
에멀젼C,전자,화강암,Cylinder-cut,97.82,83.06,0.087
에멀젼C,전자,화강암,Cylinder-cut,96.18,81.68,0.10300000000000001
에멀젼C,전자,화강암,Cylinder-cut,99.61,84.59,0.08900000000000001
에멀젼C,전자,화강암,Cylinder-cut,104.84,89.03,0.075
에멀젼C,전자,화강암,Cylinder-cut,103.21,87.64,0.086
에멀젼C,전자,화강암,Cylinder-cut,106.14,90.14,0.086
에멀젼C,전자,화강암,Cylinder-cut,112.35,95.41,0.073
에멀젼C,전자,화강암,Cylinder-cut,110.72,94.02,0.073
에멀젼C,전자,화강암,Cylinder-cut,114.31,97.07,0.068
에멀젼C,전자,화강암,Cylinder-cut,61.24,48.27,0.162
에멀젼C,전자,화강암,Cylinder-cut,59.2,46.67,0.141
에멀젼C,전자,화강암,Cylinder-cut,63.28,49.88,0.114
에멀젼C,전자,화강암,Cylinder-cut,81.65,64.37,0.059000000000000004
에멀젼C,전자,화강암,Cylinder-cut,79.61,62.76,0.071
에멀젼C,전자,화강암,Cylinder-cut,83.69,65.98,0.062
에멀젼C,전자,화강암,Cylinder-cut,90.22,71.12,0.021
에멀젼C,전자,화강암,Cylinder-cut,88.18,69.52,0.026000000000000002
에멀젼C,전자,화강암,Cylinder-cut,92.26,72.73,0.02
에멀젼C,전자,화강암,Cylinder-cut,122.47,96.55,0.075
에멀젼C,전자,화강암,Cylinder-cut,120.43,94.94,0.075
에멀젼C,전자,화강암,Cylinder-cut,124.52,98.16,0.065
에멀젼C,전자,화강암,Cylinder-cut,142.89,112.64,0.033
에멀젼C,전자,화강암,Cylinder-cut,140.85,111.03,0.027000000000000003
에멀젼C,전자,화강암,Cylinder-cut,144.93,114.25,0.021
에멀젼C,전자,화강암,Cylinder-cut,163.3,128.73,0.024
에멀젼C,전자,화강암,Cylinder-cut,161.26,127.12,0.019
에멀젼C,전자,화강암,Cylinder-cut,165.34,130.34,0.018000000000000002
에멀젼C,전자,화강암,Cylinder-cut,183.71,144.82,0.016
에멀젼C,전자,화강암,Cylinder-cut,181.67,143.21,0.016
에멀젼C,전자,화강암,Cylinder-cut,185.75,146.43,0.011000000000000001
에멀젼C,전자,화강암,Cylinder-cut,89.61,70.64,0.023
에멀젼C,전자,화강암,Cylinder-cut,87.57,69.03,0.036000000000000004
에멀젼C,전자,화강암,Cylinder-cut,85.53,67.42,0.047
에멀젼C,전자,화강암,Cylinder-cut,91.65,72.25,0.002
