뇌관,암석분류,심발,SR SD,CR SD,최대입자속도
전기,화성암,V-CUT,224.94,170.17,0.017
전기,화성암,V-CUT,370.85,314.92,0.008
전기,화성암,V-CUT,370.53,314.65,0.011000000000000001
전기,화성암,V-CUT,369.55,313.82,0.012
전기,화성암,V-CUT,368.57,312.98,0.012
전기,화성암,V-CUT,367.59,312.15,0.013999999999999999
전기,화성암,V-CUT,360.56,306.19,0.013999999999999999
전기,화성암,V-CUT,93.73,79.6,0.12
전기,화성암,V-CUT,92.75,78.77,0.161
전기,화성암,V-CUT,126.56,95.74,0.087
전기,화성암,V-CUT,127.02,96.09,0.095
전기,화성암,V-CUT,125.86,95.22,0.081
전기,화성암,V-CUT,91.61,77.8,0.086
전기,화성암,V-CUT,76.91,65.31,0.139
전기,화성암,V-CUT,79.04,67.12,0.111
전기,화성암,V-CUT,76.91,65.31,0.131
전기,화성암,V-CUT,99.4,78.89,0.084
전기,화성암,V-CUT,102.77,77.75,0.09699999999999999
전기,화성암,V-CUT,75.44,64.07,0.105
전기,화성암,V-CUT,89.81,76.27,0.084
전기,화성암,V-CUT,87.53,74.33,0.109
전기,화성암,V-CUT,87.69,74.47,0.15
전기,화성암,V-CUT,116.86,88.41,0.09
전기,화성암,V-CUT,114.55,86.66,0.106
전기,화성암,V-CUT,85.24,72.39,0.079
전기,화성암,V-CUT,27.9,27.29,0.616
전기,화성암,V-CUT,21.54,22.21,0.5589999999999999
전기,화성암,V-CUT,21.96,23.5,0.35700000000000004
전기,화성암,V-CUT,16.4,18.09,0.5329999999999999
전기,화성암,V-CUT,27.9,27.29,0.319
전기,화성암,V-CUT,21.54,22.21,0.33
전기,화성암,V-CUT,21.96,23.5,0.23
전기,화성암,V-CUT,16.4,18.09,0.36200000000000004
전기,화성암,V-CUT,39.02,38.16,0.155
전기,화성암,V-CUT,31.77,32.75,0.14400000000000002
전기,화성암,V-CUT,30.29,32.41,0.11
전기,화성암,V-CUT,25.19,27.79,0.099
전기,화성암,V-CUT,62.43,61.06,0.094
전기,화성암,V-CUT,52.31,53.92,0.068
전기,화성암,V-CUT,48.01,51.37,0.025
전기,화성암,V-CUT,42.26,46.61,0.071
전기,화성암,V-CUT,77.72,76.01,0.09699999999999999
전기,화성암,V-CUT,65.64,67.66,0.154
전기,화성암,V-CUT,59.6,63.77,0.099
전기,화성암,V-CUT,53.22,58.7,0.153
전기,화성암,V-CUT,86.06,84.16,0.076
전기,화성암,V-CUT,72.94,75.19,0.091
전기,화성암,V-CUT,65.89,70.5,0.064
전기,화성암,V-CUT,59.26,65.35,0.13
전기,화성암,V-CUT,105.84,103.51,0.21
전기,화성암,V-CUT,89.83,92.6,0.28800000000000003
전기,화성암,V-CUT,81.0,86.66,0.11199999999999999
전기,화성암,V-CUT,73.12,80.65,0.195
전기,화성암,V-CUT,217.34,212.55,0.078
전기,화성암,V-CUT,185.5,191.22,0.042
전기,화성암,V-CUT,166.08,177.69,0.034
전기,화성암,V-CUT,151.38,166.96,0.042
전기,화성암,V-CUT,274.1,268.07,0.059000000000000004
전기,화성암,V-CUT,234.06,241.28,0.039
전기,화성암,V-CUT,209.43,224.07,0.024
전기,화성암,V-CUT,191.11,210.78,0.037000000000000005
전기,화성암,V-CUT,401.58,418.99,0.023
전기,화성암,V-CUT,414.37,428.92,0.025
