뇌관,SR SD,CR SD,최대입자속도
전자,49.64,42.16,0.932
전자,49.64,42.16,0.799
전자,60.8,48.26,0.701
전자,49.64,42.16,0.866
전자,130.64,110.94,0.068
전자,130.64,110.94,0.075
전자,160.0,126.99,0.091
전자,130.64,110.94,0.095
전자,130.64,110.94,0.1
전자,179.63,152.54,0.021
전자,179.63,152.54,0.032
전자,179.63,152.54,0.02
전자,179.63,152.54,0.022000000000000002
전자,220.0,174.61,0.016
전자,212.29,180.27,0.011000000000000001
전자,212.29,180.27,0.017
전자,212.29,180.27,0.012
전자,212.29,180.27,0.013000000000000001
전자,212.29,180.27,0.015
전자,245.11,208.15,0.01
전자,245.11,208.15,0.013000000000000001
전자,245.11,208.15,0.009000000000000001
전자,245.11,208.15,0.012
전자,300.2,238.27,0.01
전자,277.77,235.88,0.011000000000000001
전자,277.77,235.88,0.01
전자,277.77,235.88,0.013000000000000001
전자,277.77,235.88,0.011000000000000001
전자,277.77,235.88,0.01
전자,100.0,73.68,0.025
전자,97.5,71.84,0.068
전자,95.0,70.0,0.068
전자,102.5,75.52,0.032
전자,125.0,92.1,0.019
전자,122.5,90.26,0.033
전자,120.0,88.42,0.028999999999999998
전자,127.5,93.94,0.025
전자,150.0,110.52,0.024
전자,147.5,108.68,0.033
전자,145.0,106.84,0.006
전자,152.5,112.36,0.006
전자,175.0,128.94,0.024
전자,172.5,127.1,0.028999999999999998
전자,170.0,125.26,0.01
전자,177.5,130.78,0.006
전자,200.0,147.36,0.019
전자,197.5,145.52,0.027000000000000003
전자,195.0,143.68,0.008
전자,202.5,149.2,0.006
전자,57.5,42.37,0.071
전자,55.0,40.52,0.114
전자,52.5,38.68,0.08900000000000001
전자,60.0,44.21,0.044000000000000004
전자,400.0,294.72,0.015
전자,397.5,292.88,0.015
전자,395.0,291.04,0.012
전자,402.5,296.56,0.012
전자,430.0,316.83,0.012
전자,427.5,314.98,0.022000000000000002
전자,425.0,313.14,0.027000000000000003
전자,432.5,318.67,0.015
전자,44.72,34.2,0.153
전자,42.49,32.49,0.337
전자,40.25,30.78,0.289
