뇌관,심발,SR SD,CR SD,최대입자속도
전기,V-CUT,698.0,720.63,0.028999999999999998
전기,V-CUT,685.81,712.83,0.035
전기,V-CUT,758.76,765.8,0.006
전기,V-CUT,709.27,733.37,0.006999999999999999
전기,V-CUT,696.54,725.8,0.009000000000000001
전기,V-CUT,698.31,727.64,0.013000000000000001
전기,V-CUT,730.8,751.35,0.028999999999999998
전기,V-CUT,711.83,742.69,0.015
전기,V-CUT,618.5,681.15,0.017
전기,V-CUT,35.93,35.55,0.17
전기,V-CUT,35.93,35.55,0.22
전기,V-CUT,35.93,35.55,0.254
전기,V-CUT,18.04,20.11,1.5
전기,V-CUT,18.04,20.11,0.8
전기,V-CUT,28.15,31.38,0.35
전기,V-CUT,28.15,31.38,0.3
전기,V-CUT,63.3,66.38,0.13699999999999998
전기,V-CUT,71.1,74.56,0.1
전기,V-CUT,66.77,70.02,0.12
전기,V-CUT,68.5,71.84,0.1
전기,V-CUT,62.43,65.47,0.12
전기,V-CUT,64.17,67.29,0.12
전기,V-CUT,65.9,69.11,0.1
전기,V-CUT,63.3,66.38,0.1
전기,V-CUT,60.7,63.65,0.1
전기,V-CUT,58.96,61.83,0.12
전기,V-CUT,52.03,54.56,0.15
전기,V-CUT,56.36,59.11,0.1
전기,V-CUT,35.8,34.12,0.162
전기,V-CUT,33.49,31.92,0.09
전기,V-CUT,48.5,46.23,0.1
전기,V-CUT,40.41,38.52,0.1
전기,V-CUT,40.41,38.52,0.07
전기,V-CUT,34.64,33.02,0.07
전기,V-CUT,16.17,19.41,0.16
전기,V-CUT,17.32,20.8,0.10800000000000001
전기,V-CUT,23.09,27.73,0.1
전기,V-CUT,19.05,22.88,0.15
전기,V-CUT,23.67,28.43,0.05
전기,V-CUT,33.49,31.92,0.162
전기,V-CUT,35.8,34.12,0.121
전기,V-CUT,50.81,48.43,0.1
전기,V-CUT,41.57,39.62,0.1
전기,V-CUT,42.72,40.72,0.1
전기,V-CUT,35.8,34.12,0.1
전기,V-CUT,38.11,36.32,0.12
전기,V-CUT,43.88,41.82,0.12
전기,V-CUT,20.78,24.96,0.10800000000000001
전기,V-CUT,24.83,29.81,0.1
전기,V-CUT,20.78,24.96,0.1
