화약,뇌관,심발,SR SD,CR SD,최대입자속도
에멀젼C,전기,V-CUT,42.26,46.61,0.071
에멀젼C,전기,V-CUT,77.72,76.01,0.09699999999999999
에멀젼C,전기,V-CUT,65.64,67.66,0.154
에멀젼C,전기,V-CUT,53.22,58.7,0.153
에멀젼C,전기,V-CUT,86.06,84.16,0.076
에멀젼C,전기,V-CUT,72.94,75.19,0.091
에멀젼C,전기,V-CUT,59.26,65.35,0.13
에멀젼C,전기,V-CUT,105.84,103.51,0.21
에멀젼C,전기,V-CUT,89.83,92.6,0.28800000000000003
에멀젼C,전기,V-CUT,73.12,80.65,0.195
에멀젼C,전기,V-CUT,217.34,212.55,0.078
에멀젼C,전기,V-CUT,185.5,191.22,0.042
에멀젼C,전기,V-CUT,151.38,166.96,0.042
에멀젼C,전기,V-CUT,274.1,268.07,0.059000000000000004
에멀젼C,전기,V-CUT,234.06,241.28,0.039
에멀젼C,전기,V-CUT,191.11,210.78,0.037000000000000005
에멀젼C,전기,V-CUT,91.87,105.16,0.156
에멀젼C,전기,V-CUT,112.51,120.38,0.1
에멀젼C,전기,V-CUT,79.56,95.55,0.2
에멀젼C,전기,V-CUT,79.56,95.55,0.19
에멀젼C,전기,V-CUT,289.61,309.86,0.021
에멀젼C,전기,V-CUT,204.79,245.94,0.04
에멀젼C,전기,V-CUT,236.47,270.69,0.03
에멀젼C,전기,V-CUT,236.47,270.69,0.032
에멀젼C,전기,V-CUT,401.58,418.99,0.023
에멀젼C,전기,V-CUT,414.37,428.92,0.025
에멀젼C,전기,V-CUT,425.7,437.8,0.011000000000000001
에멀젼C,전기,V-CUT,427.97,440.44,0.021
에멀젼C,전기,V-CUT,425.98,440.15,0.013999999999999999
에멀젼C,전기,V-CUT,441.64,451.26,0.013999999999999999
에멀젼C,전기,V-CUT,424.67,440.17,0.016
에멀젼C,전기,V-CUT,438.54,450.49,0.023
에멀젼C,전기,V-CUT,434.42,448.44,0.023
에멀젼C,전기,V-CUT,433.8,448.79,0.042
에멀젼C,전기,V-CUT,439.08,453.26,0.016
에멀젼C,전기,V-CUT,436.66,452.29,0.02
에멀젼C,전기,V-CUT,454.42,465.27,0.027999999999999997
에멀젼C,전기,V-CUT,428.68,441.9,0.011000000000000001
에멀젼C,전기,V-CUT,406.36,456.62,0.012
에멀젼C,전기,V-CUT,535.06,549.72,0.011000000000000001
에멀젼C,전기,V-CUT,411.65,462.06,0.013000000000000001
에멀젼C,전기,V-CUT,437.97,481.93,0.038
에멀젼C,전기,V-CUT,499.69,526.48,0.012
에멀젼C,전기,V-CUT,424.72,473.09,0.038
에멀젼C,전기,V-CUT,505.78,531.59,0.012
에멀젼C,전기,V-CUT,475.15,510.49,0.023
에멀젼C,전기,V-CUT,425.77,475.74,0.011000000000000001
에멀젼C,전기,V-CUT,439.95,487.19,0.012
에멀젼C,전기,V-CUT,430.54,481.15,0.024
에멀젼C,전기,V-CUT,432.1,484.16,0.013000000000000001
에멀젼C,전기,V-CUT,426.45,480.84,0.044000000000000004
에멀젼C,전기,V-CUT,470.58,514.44,0.028999999999999998
에멀젼C,전기,V-CUT,468.6,513.97,0.028999999999999998
에멀젼C,전기,V-CUT,417.94,477.49,0.027000000000000003
에멀젼C,전기,V-CUT,421.21,480.37,0.051
에멀젼C,전기,V-CUT,440.52,496.51,0.036000000000000004
에멀젼C,전기,V-CUT,433.4,491.92,0.024
에멀젼C,전기,V-CUT,434.81,493.74,0.043
에멀젼C,전기,V-CUT,436.38,495.72,0.012
에멀젼C,전기,V-CUT,424.63,487.16,0.016
에멀젼C,전기,V-CUT,428.58,490.93,0.012
에멀젼C,전기,V-CUT,584.07,605.31,0.013000000000000001
에멀젼C,전기,V-CUT,696.19,718.77,0.006999999999999999
에멀젼C,전기,V-CUT,698.0,720.63,0.028999999999999998
에멀젼C,전기,V-CUT,685.81,712.83,0.035
에멀젼C,전기,V-CUT,758.76,765.8,0.006
에멀젼C,전기,V-CUT,709.27,733.37,0.006999999999999999
에멀젼C,전기,V-CUT,696.54,725.8,0.009000000000000001
에멀젼C,전기,V-CUT,698.31,727.64,0.013000000000000001
에멀젼C,전기,V-CUT,730.8,751.35,0.028999999999999998
에멀젼C,전기,V-CUT,711.83,742.69,0.015
에멀젼C,전기,V-CUT,618.5,681.15,0.017
에멀젼C,전기,V-CUT,35.93,35.55,0.17
에멀젼C,전기,V-CUT,35.93,35.55,0.22
에멀젼C,전기,V-CUT,35.93,35.55,0.254
에멀젼C,전기,V-CUT,18.04,20.11,1.5
에멀젼C,전기,V-CUT,18.04,20.11,0.8
에멀젼C,전기,V-CUT,28.15,31.38,0.35
에멀젼C,전기,V-CUT,28.15,31.38,0.3
에멀젼C,전기,V-CUT,63.3,66.38,0.13699999999999998
에멀젼C,전기,V-CUT,71.1,74.56,0.1
에멀젼C,전기,V-CUT,66.77,70.02,0.12
에멀젼C,전기,V-CUT,68.5,71.84,0.1
에멀젼C,전기,V-CUT,62.43,65.47,0.12
에멀젼C,전기,V-CUT,64.17,67.29,0.12
에멀젼C,전기,V-CUT,65.9,69.11,0.1
에멀젼C,전기,V-CUT,63.3,66.38,0.1
에멀젼C,전기,V-CUT,60.7,63.65,0.1
에멀젼C,전기,V-CUT,58.96,61.83,0.12
에멀젼C,전기,V-CUT,52.03,54.56,0.15
에멀젼C,전기,V-CUT,56.36,59.11,0.1
에멀젼C,전기,V-CUT,35.8,34.12,0.162
에멀젼C,전기,V-CUT,33.49,31.92,0.09
에멀젼C,전기,V-CUT,48.5,46.23,0.1
에멀젼C,전기,V-CUT,40.41,38.52,0.1
에멀젼C,전기,V-CUT,40.41,38.52,0.07
에멀젼C,전기,V-CUT,34.64,33.02,0.07
에멀젼C,전기,V-CUT,16.17,19.41,0.16
에멀젼C,전기,V-CUT,17.32,20.8,0.10800000000000001
에멀젼C,전기,V-CUT,23.09,27.73,0.1
에멀젼C,전기,V-CUT,19.05,22.88,0.15
에멀젼C,전기,V-CUT,23.67,28.43,0.05
에멀젼C,전기,V-CUT,33.49,31.92,0.162
에멀젼C,전기,V-CUT,35.8,34.12,0.121
에멀젼C,전기,V-CUT,50.81,48.43,0.1
에멀젼C,전기,V-CUT,41.57,39.62,0.1
에멀젼C,전기,V-CUT,42.72,40.72,0.1
에멀젼C,전기,V-CUT,35.8,34.12,0.1
에멀젼C,전기,V-CUT,38.11,36.32,0.12
에멀젼C,전기,V-CUT,43.88,41.82,0.12
에멀젼C,전기,V-CUT,20.78,24.96,0.10800000000000001
에멀젼C,전기,V-CUT,24.83,29.81,0.1
에멀젼C,전기,V-CUT,20.78,24.96,0.1
에멀젼C,전기,V-CUT,20.78,24.96,0.1
에멀젼C,전기,V-CUT,17.32,20.8,0.12
에멀젼C,전기,V-CUT,18.48,22.19,0.07
에멀젼C,전기,V-CUT,21.94,26.35,0.12
에멀젼C,전기,V-CUT,32.91,31.37,0.5
에멀젼C,전기,V-CUT,40.41,38.52,0.3
에멀젼C,전기,V-CUT,36.37,34.67,0.4
에멀젼C,전기,V-CUT,34.64,33.02,0.22
에멀젼C,전기,V-CUT,32.1,30.6,1.143
에멀젼C,전기,V-CUT,28.87,27.52,0.7190000000000001
에멀젼C,전기,V-CUT,33.49,31.92,0.22
에멀젼C,전기,V-CUT,32.56,31.04,0.17
에멀젼C,전기,V-CUT,30.02,28.62,0.3
에멀젼C,전기,V-CUT,26.56,25.31,0.33
에멀젼C,전기,V-CUT,26.79,25.53,0.344
에멀젼C,전기,V-CUT,26.1,24.87,0.546
에멀젼C,전기,V-CUT,52.8,41.91,0.21600000000000003
에멀젼C,전기,V-CUT,59.4,47.15,0.113
에멀젼C,전기,V-CUT,58.0,46.03,0.16699999999999998
에멀젼C,전기,V-CUT,46.0,36.51,0.25
에멀젼C,전기,V-CUT,70.8,56.19,0.07
에멀젼C,전기,V-CUT,42.0,33.34,0.88
에멀젼C,전기,V-CUT,55.2,43.81,0.15
에멀젼C,전기,V-CUT,72.0,57.15,0.05
에멀젼C,전기,V-CUT,39.2,31.11,0.254
에멀젼C,전기,V-CUT,55.3,41.04,0.265
에멀젼C,전기,V-CUT,35.4,28.1,0.373
에멀젼C,전기,V-CUT,57.2,45.4,0.6
에멀젼C,전기,V-CUT,44.6,35.4,0.35
에멀젼C,전기,V-CUT,45.2,35.88,0.27
에멀젼C,전기,V-CUT,34.8,27.62,0.2
에멀젼C,전기,V-CUT,41.0,32.54,0.35
에멀젼C,전기,V-CUT,42.0,33.34,0.25
에멀젼C,전기,V-CUT,42.0,33.34,0.22
에멀젼C,전기,V-CUT,46.8,37.15,0.1
에멀젼C,전기,V-CUT,46.98,34.87,0.27
에멀젼C,전기,V-CUT,53.83,39.95,0.12
에멀젼C,전기,V-CUT,59.22,43.95,0.15
에멀젼C,전기,V-CUT,45.52,33.78,0.15
에멀젼C,전기,V-CUT,42.09,31.23,0.4
에멀젼C,전기,V-CUT,51.39,38.13,0.1
에멀젼C,전기,V-CUT,63.62,47.21,0.05
에멀젼C,전기,V-CUT,36.95,35.22,0.25
에멀젼C,전기,V-CUT,45.03,42.93,0.25
에멀젼C,전기,V-CUT,41.57,39.62,0.3
에멀젼C,전기,V-CUT,42.72,40.72,0.43200000000000005
에멀젼C,전기,V-CUT,36.95,35.22,0.457
에멀젼C,전기,V-CUT,31.35,33.55,0.3
에멀젼C,전기,V-CUT,37.4,40.01,0.25
에멀젼C,전기,V-CUT,30.7,32.85,0.4
에멀젼C,전기,V-CUT,33.72,36.08,0.537
에멀젼C,전기,V-CUT,32.99,35.29,0.27
에멀젼C,전기,V-CUT,36.74,39.31,0.27
에멀젼C,전기,V-CUT,32.17,34.42,0.38
에멀젼C,전기,V-CUT,48.99,52.41,0.22
에멀젼C,전기,V-CUT,33.07,35.38,0.275
에멀젼C,전기,V-CUT,46.99,43.16,0.1
에멀젼C,전기,V-CUT,49.57,45.53,0.2
에멀젼C,전기,V-CUT,67.91,62.36,0.38
에멀젼C,전기,V-CUT,79.9,69.95,0.05
에멀젼C,전기,V-CUT,50.87,46.71,0.1
에멀젼C,전기,V-CUT,27.63,25.37,0.3
에멀젼C,전기,V-CUT,42.86,39.36,0.35
에멀젼C,전기,V-CUT,28.32,24.79,0.14800000000000002
에멀젼C,전기,V-CUT,27.13,23.75,0.556
에멀젼C,전기,V-CUT,19.62,18.02,0.495
에멀젼C,전기,V-CUT,28.91,28.97,0.268
에멀젼C,전기,V-CUT,37.46,37.54,0.965
에멀젼C,전기,V-CUT,26.03,26.09,0.4
에멀젼C,전기,V-CUT,23.35,23.4,0.4
에멀젼C,전기,V-CUT,33.28,33.36,0.22
에멀젼C,전기,V-CUT,28.81,28.88,0.78
에멀젼C,전기,V-CUT,31.99,32.06,0.25
에멀젼C,전기,V-CUT,48.08,42.84,0.292
에멀젼C,전기,V-CUT,52.33,46.62,0.25
에멀젼C,전기,V-CUT,70.71,63.0,0.27
에멀젼C,전기,V-CUT,63.64,56.7,0.05
에멀젼C,전기,V-CUT,53.74,47.88,0.3
