심발,SR SD,CR SD,최대입자속도
V-CUT,141.56,126.12,0.034
V-CUT,146.09,130.15,0.032
V-CUT,145.52,129.65,0.031
V-CUT,120.2,95.4,0.098
V-CUT,98.47,83.62,0.077
V-CUT,89.49,75.99,0.109
V-CUT,101.08,85.84,0.077
V-CUT,85.57,72.66,0.111
V-CUT,173.6,137.79,0.033
V-CUT,174.8,138.74,0.035
V-CUT,132.76,112.74,0.045
V-CUT,145.66,123.7,0.034
V-CUT,146.97,124.81,0.034
V-CUT,225.8,179.22,0.011000000000000001
V-CUT,228.8,181.6,0.01
V-CUT,186.16,158.09,0.009000000000000001
V-CUT,233.2,185.09,0.009000000000000001
V-CUT,182.24,154.76,0.013000000000000001
V-CUT,168.2,133.5,0.027999999999999997
V-CUT,170.4,135.25,0.028999999999999998
V-CUT,133.25,113.16,0.028999999999999998
V-CUT,167.8,133.18,0.026000000000000002
V-CUT,137.17,116.48,0.026000000000000002
V-CUT,216.4,171.76,0.008
V-CUT,209.8,166.52,0.008
V-CUT,173.42,147.27,0.013000000000000001
V-CUT,179.79,152.68,0.008
V-CUT,181.1,153.79,0.008
V-CUT,38.0,30.16,0.685
V-CUT,30.86,26.21,0.7490000000000001
V-CUT,30.54,25.93,0.951
V-CUT,35.44,30.09,0.677
V-CUT,30.37,25.79,0.9329999999999999
V-CUT,59.2,46.99,0.21899999999999997
V-CUT,44.58,37.86,0.23600000000000002
V-CUT,43.6,37.03,0.25
V-CUT,54.87,46.59,0.203
V-CUT,56.01,47.56,0.188
V-CUT,88.2,70.0,0.091
V-CUT,92.6,73.5,0.107
V-CUT,71.53,60.74,0.126
V-CUT,82.47,70.03,0.11800000000000001
V-CUT,83.61,71.0,0.094
V-CUT,32.2,33.42,0.245
V-CUT,33.94,34.61,0.19699999999999998
V-CUT,36.1,36.1,0.157
V-CUT,36.0,36.0,0.102
V-CUT,36.0,36.0,0.129
V-CUT,29.39,31.45,0.252
V-CUT,54.47,56.53,0.07200000000000001
