뇌관,암석분류,SR SD,CR SD,최대입자속도
비전기,화성암,198.91,215.11,0.024
비전기,화성암,114.57,148.8,0.042
비전기,화성암,114.38,148.56,0.047
비전기,화성암,178.05,199.85,0.027000000000000003
비전기,화성암,125.4,157.99,0.027999999999999997
비전기,화성암,100.59,135.6,0.044000000000000004
비전기,화성암,99.78,134.5,0.055
비전기,화성암,100.96,136.09,0.042
비전기,화성암,124.1,156.36,0.034
비전기,화성암,122.75,154.66,0.045
비전기,화성암,28.3,36.75,0.872
비전기,화성암,28.44,36.93,0.768
비전기,화성암,28.71,37.29,0.581
비전기,화성암,25.64,34.56,0.604
비전기,화성암,31.8,40.07,0.462
비전기,화성암,81.74,88.41,0.124
비전기,화성암,80.95,87.55,0.113
비전기,화성암,47.1,61.18,0.20199999999999999
비전기,화성암,42.05,56.68,0.23600000000000002
비전기,화성암,51.05,64.32,0.158
비전기,화성암,102.62,110.98,0.084
비전기,화성암,58.93,76.53,0.22
비전기,화성암,58.79,76.35,0.33
비전기,화성암,59.25,76.95,0.20800000000000002
비전기,화성암,59.25,76.95,0.134
비전기,화성암,73.12,94.97,0.162
비전기,화성암,72.39,94.02,0.162
비전기,화성암,65.24,87.94,0.11800000000000001
비전기,화성암,64.54,87.01,0.252
비전기,화성암,64.87,87.45,0.19699999999999998
비전기,화성암,76.3,102.86,0.141
비전기,화성암,76.63,103.3,0.133
비전기,화성암,75.89,102.3,0.142
비전기,화성암,94.65,119.25,0.102
비전기,화성암,76.91,103.68,0.121
비전기,화성암,171.16,185.1,0.038
비전기,화성암,99.18,128.82,0.11800000000000001
비전기,화성암,98.36,127.75,0.102
비전기,화성암,88.43,119.2,0.135
비전기,화성암,107.8,135.82,0.075
비전기,화성암,30.4,24.13,0.22899999999999998
비전기,화성암,30.4,24.13,0.317
비전기,화성암,28.0,22.22,0.267
비전기,화성암,28.0,22.22,0.305
비전기,화성암,28.0,22.22,0.762
비전기,화성암,28.0,22.22,0.698
비전기,화성암,19.38,16.96,0.889
비전기,화성암,40.0,31.75,0.13699999999999998
비전기,화성암,40.0,31.75,0.268
비전기,화성암,38.0,30.16,0.24100000000000002
비전기,화성암,38.0,30.16,0.243
비전기,화성암,38.0,30.16,0.32899999999999996
비전기,화성암,38.0,30.16,0.33
비전기,화성암,26.83,23.49,0.386
비전기,화성암,50.0,39.69,0.11699999999999999
비전기,화성암,50.0,39.69,0.151
비전기,화성암,48.0,38.1,0.135
비전기,화성암,48.0,38.1,0.129
비전기,화성암,48.0,38.1,0.24
비전기,화성암,48.0,38.1,0.221
비전기,화성암,34.29,30.01,0.259
비전기,화성암,55.0,43.65,0.163
비전기,화성암,55.0,43.65,0.038
비전기,화성암,52.0,41.27,0.115
비전기,화성암,52.0,41.27,0.109
비전기,화성암,52.0,41.27,0.185
비전기,화성암,52.0,41.27,0.24100000000000002
비전기,화성암,37.27,32.62,0.182
비전기,화성암,59.0,46.83,0.14400000000000002
비전기,화성암,59.0,46.83,0.054000000000000006
비전기,화성암,56.0,44.45,0.122
비전기,화성암,56.0,44.45,0.111
비전기,화성암,56.0,44.45,0.163
비전기,화성암,56.0,44.45,0.203
비전기,화성암,40.25,35.23,0.156
비전기,화성암,101.4,80.48,0.023
비전기,화성암,101.4,80.48,0.013000000000000001
비전기,화성암,96.0,76.2,0.025
비전기,화성암,96.0,76.2,0.038
비전기,화성암,96.0,76.2,0.051
비전기,화성암,96.0,76.2,0.08199999999999999
비전기,화성암,70.06,61.33,0.062
비전기,화성암,106.6,84.61,0.027000000000000003
비전기,화성암,106.6,84.61,0.021
비전기,화성암,104.0,82.54,0.032
비전기,화성암,104.0,82.54,0.035
비전기,화성암,104.0,82.54,0.038
비전기,화성암,104.0,82.54,0.048
비전기,화성암,76.03,66.55,0.038
비전기,화성암,129.0,102.39,0.019
비전기,화성암,129.0,102.39,0.011000000000000001
비전기,화성암,126.0,100.01,0.021
비전기,화성암,126.0,100.01,0.024
비전기,화성암,126.0,100.01,0.03
비전기,화성암,126.0,100.01,0.028999999999999998
비전기,화성암,92.42,80.91,0.031
비전기,화성암,29.02,25.63,0.252
비전기,화성암,21.94,20.91,0.37200000000000005
비전기,화성암,21.91,20.52,0.175
비전기,화성암,29.7,26.46,0.18899999999999997
비전기,화성암,36.27,32.04,0.44
비전기,화성암,27.71,26.42,0.613
비전기,화성암,27.99,26.22,0.252
비전기,화성암,36.77,32.76,0.377
비전기,화성암,58.04,51.27,0.1
비전기,화성암,45.03,42.93,0.134
비전기,화성암,46.25,43.32,0.081
비전기,화성암,57.98,51.66,0.07200000000000001
비전기,화성암,71.1,62.8,0.09300000000000001
비전기,화성암,55.43,52.83,0.08800000000000001
비전기,화성암,57.21,53.58,0.035
비전기,화성암,70.71,63.0,0.042
비전기,화성암,74.0,65.36,0.08199999999999999
비전기,화성암,57.74,55.03,0.067
비전기,화성암,59.64,55.86,0.044000000000000004
비전기,화성암,73.54,65.52,0.042
비전기,화성암,72.55,64.08,0.09300000000000001
비전기,화성암,56.58,53.93,0.11
비전기,화성암,58.42,54.72,0.068
비전기,화성암,72.12,64.26,0.07400000000000001
비전기,화성암,87.06,76.9,0.084
비전기,화성암,68.13,64.94,0.134
비전기,화성암,70.6,66.12,0.07200000000000001
비전기,화성암,86.27,76.86,0.07
비전기,화성암,101.57,89.72,0.086
비전기,화성암,79.67,75.94,0.09300000000000001
비전기,화성암,82.77,77.52,0.053
비전기,화성암,100.41,89.45,0.055999999999999994
비전기,화성암,116.08,102.53,0.044000000000000004
비전기,화성암,91.22,86.95,0.052000000000000005
비전기,화성암,94.94,88.92,0.026000000000000002
비전기,화성암,114.55,102.05,0.023
비전기,화성암,145.1,128.16,0.055999999999999994
비전기,화성암,114.32,108.96,0.08900000000000001
비전기,화성암,119.28,111.72,0.032
비전기,화성암,142.84,127.25,0.025
비전기,화성암,271.33,239.67,0.015
비전기,화성암,214.77,204.72,0.012
비전기,화성암,225.17,210.9,0.006999999999999999
비전기,화성암,265.87,236.87,0.006999999999999999
비전기,화성암,30.89,27.33,2.16
비전기,화성암,30.04,25.79,2.93
비전기,화성암,34.93,30.91,1.071
비전기,화성암,47.78,42.27,0.266
비전기,화성암,52.34,44.92,0.447
비전기,화성암,48.21,42.66,0.325
비전기,화성암,70.58,62.45,0.098
비전기,화성암,77.32,66.37,0.127
비전기,화성암,71.01,62.84,0.078
비전기,화성암,96.42,85.32,0.076
비전기,화성암,105.62,90.66,0.081
비전기,화성암,96.71,85.57,0.081
비전기,화성암,187.35,165.78,0.017
비전기,화성암,205.55,176.44,0.019
비전기,화성암,187.21,165.65,0.012
비전기,화성암,217.37,192.34,0.017
비전기,화성암,238.44,204.67,0.017
비전기,화성암,217.23,192.22,0.013000000000000001
비전기,화성암,236.42,209.2,0.012
비전기,화성암,259.15,222.45,0.009000000000000001
비전기,화성암,236.14,208.95,0.009000000000000001
비전기,화성암,261.68,231.55,0.013999999999999999
비전기,화성암,287.13,246.47,0.017
비전기,화성암,261.54,231.43,0.017
비전기,화성암,279.29,247.13,0.034
비전기,화성암,306.42,263.03,0.034
비전기,화성암,279.0,246.88,0.034
비전기,화성암,58.75,51.98,0.12
비전기,화성암,62.61,53.75,0.271
비전기,화성암,60.48,53.51,0.129
비전기,화성암,205.54,181.87,0.044000000000000004
비전기,화성암,224.21,192.45,0.024
비전기,화성암,206.26,182.51,0.02
비전기,화성암,82.71,61.5,0.35
비전기,화성암,72.98,54.26,0.66
비전기,화성암,46.22,34.37,0.63
비전기,화성암,34.06,25.32,1.19
비전기,화성암,51.08,37.98,0.6
비전기,화성암,82.71,61.5,0.1
비전기,화성암,75.41,56.07,0.43
비전기,화성암,72.98,54.26,0.6
비전기,화성암,53.52,39.79,0.3
비전기,화성암,38.92,28.94,0.96
비전기,화성암,41.35,30.75,0.88
비전기,화성암,51.08,37.98,0.295
비전기,화성암,79.02,62.72,0.25
비전기,화성암,89.6,71.12,0.2
비전기,화성암,78.0,61.91,0.27
비전기,화성암,83.6,66.35,0.27
비전기,화성암,94.8,75.24,0.2
비전기,화성암,76.8,60.96,0.33
비전기,화성암,101.4,80.48,0.15
비전기,화성암,97.42,77.32,0.25
비전기,화성암,103.2,81.91,0.2
비전기,화성암,105.0,83.34,0.2
