화약,SR SD,CR SD,최대입자속도
에멀젼C,120.2,95.4,0.098
에멀젼C,98.47,83.62,0.077
에멀젼C,89.49,75.99,0.109
에멀젼C,101.08,85.84,0.077
에멀젼C,85.57,72.66,0.111
에멀젼C,173.6,137.79,0.033
에멀젼C,174.8,138.74,0.035
에멀젼C,132.76,112.74,0.045
에멀젼C,145.66,123.7,0.034
에멀젼C,146.97,124.81,0.034
에멀젼C,225.8,179.22,0.011000000000000001
에멀젼C,228.8,181.6,0.01
에멀젼C,186.16,158.09,0.009000000000000001
에멀젼C,233.2,185.09,0.009000000000000001
에멀젼C,182.24,154.76,0.013000000000000001
에멀젼C,168.2,133.5,0.027999999999999997
에멀젼C,170.4,135.25,0.028999999999999998
에멀젼C,133.25,113.16,0.028999999999999998
에멀젼C,167.8,133.18,0.026000000000000002
에멀젼C,137.17,116.48,0.026000000000000002
에멀젼C,216.4,171.76,0.008
에멀젼C,209.8,166.52,0.008
에멀젼C,173.42,147.27,0.013000000000000001
에멀젼C,179.79,152.68,0.008
에멀젼C,181.1,153.79,0.008
에멀젼C,38.0,30.16,0.685
에멀젼C,30.86,26.21,0.7490000000000001
에멀젼C,30.54,25.93,0.951
에멀젼C,35.44,30.09,0.677
에멀젼C,30.37,25.79,0.9329999999999999
에멀젼C,59.2,46.99,0.21899999999999997
에멀젼C,44.58,37.86,0.23600000000000002
에멀젼C,43.6,37.03,0.25
에멀젼C,54.87,46.59,0.203
에멀젼C,56.01,47.56,0.188
에멀젼C,88.2,70.0,0.091
에멀젼C,92.6,73.5,0.107
에멀젼C,71.53,60.74,0.126
에멀젼C,82.47,70.03,0.11800000000000001
에멀젼C,83.61,71.0,0.094
에멀젼C,32.2,33.42,0.245
에멀젼C,33.94,34.61,0.19699999999999998
에멀젼C,36.1,36.1,0.157
에멀젼C,36.0,36.0,0.102
에멀젼C,36.0,36.0,0.129
에멀젼C,29.39,31.45,0.252
에멀젼C,54.47,56.53,0.07200000000000001
에멀젼C,57.42,58.56,0.043
에멀젼C,70.44,67.14,0.037000000000000005
에멀젼C,60.9,60.9,0.057
에멀젼C,60.9,60.9,0.047
에멀젼C,49.72,53.2,0.08
에멀젼C,76.74,79.65,0.065
에멀젼C,99.07,94.44,0.028999999999999998
에멀젼C,99.07,94.44,0.027000000000000003
에멀젼C,99.19,94.55,0.022000000000000002
에멀젼C,85.8,85.8,0.03
에멀젼C,85.8,85.8,0.018000000000000002
에멀젼C,99.1,102.86,0.062
에멀젼C,99.1,102.86,0.036000000000000004
에멀젼C,110.8,110.8,0.033
에멀젼C,110.8,110.8,0.017
에멀젼C,110.8,110.8,0.023
에멀젼C,90.47,96.79,0.039
에멀젼C,121.37,125.97,0.048
에멀젼C,156.69,149.36,0.016
에멀젼C,156.69,149.36,0.02
에멀젼C,135.7,135.7,0.028999999999999998
에멀젼C,135.7,135.7,0.012
에멀젼C,110.8,118.54,0.03
에멀젼C,232.5,183.28,0.03
에멀젼C,229.23,180.71,0.037000000000000005
에멀젼C,228.62,180.22,0.034
에멀젼C,233.11,183.76,0.031
에멀젼C,228.62,180.22,0.053
에멀젼C,204.33,161.08,0.047
에멀젼C,201.06,158.5,0.06
에멀젼C,204.12,160.91,0.044000000000000004
에멀젼C,204.94,161.56,0.055
에멀젼C,200.45,158.02,0.065
에멀젼C,231.23,204.6,0.018000000000000002
에멀젼C,231.66,204.99,0.012
에멀젼C,232.24,205.5,0.015
에멀젼C,230.22,203.71,0.023
에멀젼C,324.56,255.85,0.019
에멀젼C,308.74,273.19,0.022000000000000002
에멀젼C,437.44,344.84,0.019
에멀젼C,438.25,345.48,0.019
에멀젼C,439.07,346.13,0.018000000000000002
에멀젼C,440.09,346.93,0.018000000000000002
에멀젼C,470.51,370.91,0.006
에멀젼C,470.71,371.07,0.005
에멀젼C,469.28,369.94,0.006999999999999999
에멀젼C,470.51,370.91,0.006
에멀젼C,468.26,369.14,0.005
에멀젼C,53.68,42.32,0.49200000000000005
에멀젼C,53.48,42.16,0.502
에멀젼C,51.44,40.55,0.47200000000000003
에멀젼C,48.79,38.46,0.46
에멀젼C,47.97,37.82,0.511
에멀젼C,102.67,80.94,0.19399999999999998
에멀젼C,102.06,80.46,0.204
에멀젼C,100.84,79.49,0.17600000000000002
에멀젼C,100.63,79.33,0.171
에멀젼C,97.57,76.92,0.18100000000000002
에멀젼C,155.34,122.46,0.07400000000000001
에멀젼C,155.95,122.94,0.07200000000000001
에멀젼C,151.05,119.08,0.102
