암석분류,심발,SR SD,CR SD,최대입자속도
화성암,V-CUT,34.44,30.14,0.11
화성암,V-CUT,32.1,30.6,0.09699999999999999
화성암,V-CUT,79.32,77.58,0.054000000000000006
화성암,V-CUT,84.76,80.79,0.044000000000000004
화성암,V-CUT,108.67,95.13,0.057
화성암,V-CUT,86.03,82.0,0.049
화성암,V-CUT,107.44,105.07,0.023
화성암,V-CUT,115.47,110.06,0.026000000000000002
화성암,V-CUT,148.62,130.1,0.024
화성암,V-CUT,116.28,110.83,0.023
화성암,V-CUT,118.34,115.74,0.023
화성암,V-CUT,127.36,121.4,0.022000000000000002
화성암,V-CUT,163.98,143.55,0.022000000000000002
화성암,V-CUT,128.06,122.06,0.016
화성암,V-CUT,27.9,27.29,0.616
화성암,V-CUT,21.54,22.21,0.5589999999999999
화성암,V-CUT,21.96,23.5,0.35700000000000004
화성암,V-CUT,16.4,18.09,0.5329999999999999
화성암,V-CUT,27.9,27.29,0.319
화성암,V-CUT,21.54,22.21,0.33
화성암,V-CUT,21.96,23.5,0.23
화성암,V-CUT,16.4,18.09,0.36200000000000004
화성암,V-CUT,39.02,38.16,0.155
화성암,V-CUT,31.77,32.75,0.14400000000000002
화성암,V-CUT,30.29,32.41,0.11
화성암,V-CUT,25.19,27.79,0.099
화성암,V-CUT,62.43,61.06,0.094
화성암,V-CUT,52.31,53.92,0.068
화성암,V-CUT,48.01,51.37,0.025
화성암,V-CUT,42.26,46.61,0.071
화성암,V-CUT,77.72,76.01,0.09699999999999999
화성암,V-CUT,65.64,67.66,0.154
화성암,V-CUT,59.6,63.77,0.099
화성암,V-CUT,53.22,58.7,0.153
화성암,V-CUT,86.06,84.16,0.076
화성암,V-CUT,72.94,75.19,0.091
화성암,V-CUT,65.89,70.5,0.064
화성암,V-CUT,59.26,65.35,0.13
화성암,V-CUT,105.84,103.51,0.21
화성암,V-CUT,89.83,92.6,0.28800000000000003
화성암,V-CUT,81.0,86.66,0.11199999999999999
화성암,V-CUT,73.12,80.65,0.195
화성암,V-CUT,217.34,212.55,0.078
화성암,V-CUT,185.5,191.22,0.042
화성암,V-CUT,166.08,177.69,0.034
화성암,V-CUT,151.38,166.96,0.042
화성암,V-CUT,274.1,268.07,0.059000000000000004
화성암,V-CUT,234.06,241.28,0.039
화성암,V-CUT,209.43,224.07,0.024
화성암,V-CUT,191.11,210.78,0.037000000000000005
화성암,V-CUT,30.89,27.33,2.16
화성암,V-CUT,30.04,25.79,2.93
화성암,V-CUT,34.93,30.91,1.071
화성암,V-CUT,47.78,42.27,0.266
화성암,V-CUT,52.34,44.92,0.447
화성암,V-CUT,48.21,42.66,0.325
화성암,V-CUT,70.58,62.45,0.098
화성암,V-CUT,77.32,66.37,0.127
화성암,V-CUT,71.01,62.84,0.078
화성암,V-CUT,96.42,85.32,0.076
화성암,V-CUT,105.62,90.66,0.081
화성암,V-CUT,96.71,85.57,0.081
화성암,V-CUT,187.35,165.78,0.017
화성암,V-CUT,205.55,176.44,0.019
화성암,V-CUT,187.21,165.65,0.012
화성암,V-CUT,217.37,192.34,0.017
화성암,V-CUT,238.44,204.67,0.017
화성암,V-CUT,217.23,192.22,0.013000000000000001
화성암,V-CUT,236.42,209.2,0.012
화성암,V-CUT,259.15,222.45,0.009000000000000001
화성암,V-CUT,236.14,208.95,0.009000000000000001
화성암,V-CUT,261.68,231.55,0.013999999999999999
화성암,V-CUT,287.13,246.47,0.017
화성암,V-CUT,261.54,231.43,0.017
화성암,V-CUT,279.29,247.13,0.034
화성암,V-CUT,306.42,263.03,0.034
화성암,V-CUT,279.0,246.88,0.034
화성암,V-CUT,58.75,51.98,0.12
화성암,V-CUT,62.61,53.75,0.271
화성암,V-CUT,60.48,53.51,0.129
화성암,V-CUT,205.54,181.87,0.044000000000000004
화성암,V-CUT,224.21,192.45,0.024
화성암,V-CUT,206.26,182.51,0.02
화성암,V-CUT,401.58,418.99,0.023
화성암,V-CUT,414.37,428.92,0.025
화성암,V-CUT,425.7,437.8,0.011000000000000001
화성암,V-CUT,427.97,440.44,0.021
화성암,V-CUT,425.98,440.15,0.013999999999999999
화성암,V-CUT,441.64,451.26,0.013999999999999999
화성암,V-CUT,424.67,440.17,0.016
화성암,V-CUT,438.54,450.49,0.023
화성암,V-CUT,434.42,448.44,0.023
화성암,V-CUT,433.8,448.79,0.042
화성암,V-CUT,439.08,453.26,0.016
화성암,V-CUT,436.66,452.29,0.02
화성암,V-CUT,454.42,465.27,0.027999999999999997
화성암,V-CUT,428.68,441.9,0.011000000000000001
화성암,V-CUT,406.36,456.62,0.012
화성암,V-CUT,535.06,549.72,0.011000000000000001
화성암,V-CUT,411.65,462.06,0.013000000000000001
화성암,V-CUT,437.97,481.93,0.038
화성암,V-CUT,499.69,526.48,0.012
화성암,V-CUT,424.72,473.09,0.038
화성암,V-CUT,505.78,531.59,0.012
화성암,V-CUT,475.15,510.49,0.023
화성암,V-CUT,425.77,475.74,0.011000000000000001
화성암,V-CUT,439.95,487.19,0.012
화성암,V-CUT,430.54,481.15,0.024
화성암,V-CUT,432.1,484.16,0.013000000000000001
화성암,V-CUT,426.45,480.84,0.044000000000000004
화성암,V-CUT,470.58,514.44,0.028999999999999998
화성암,V-CUT,468.6,513.97,0.028999999999999998
화성암,V-CUT,417.94,477.49,0.027000000000000003
화성암,V-CUT,421.21,480.37,0.051
화성암,V-CUT,440.52,496.51,0.036000000000000004
화성암,V-CUT,433.4,491.92,0.024
화성암,V-CUT,434.81,493.74,0.043
화성암,V-CUT,436.38,495.72,0.012
화성암,V-CUT,424.63,487.16,0.016
화성암,V-CUT,428.58,490.93,0.012
화성암,V-CUT,584.07,605.31,0.013000000000000001
화성암,V-CUT,696.19,718.77,0.006999999999999999
화성암,V-CUT,698.0,720.63,0.028999999999999998
화성암,V-CUT,685.81,712.83,0.035
화성암,V-CUT,758.76,765.8,0.006
화성암,V-CUT,709.27,733.37,0.006999999999999999
화성암,V-CUT,696.54,725.8,0.009000000000000001
화성암,V-CUT,698.31,727.64,0.013000000000000001
화성암,V-CUT,730.8,751.35,0.028999999999999998
화성암,V-CUT,711.83,742.69,0.015
화성암,V-CUT,618.5,681.15,0.017
화성암,V-CUT,35.93,35.55,0.17
화성암,V-CUT,35.93,35.55,0.22
화성암,V-CUT,35.93,35.55,0.254
