암종,SR SD,CR SD,최대입자속도
화강암,119.28,111.72,0.032
화강암,142.84,127.25,0.025
화강암,271.33,239.67,0.015
화강암,214.77,204.72,0.012
화강암,225.17,210.9,0.006999999999999999
화강암,265.87,236.87,0.006999999999999999
화강암,44.72,34.2,0.153
화강암,42.49,32.49,0.337
화강암,40.25,30.78,0.289
화강암,46.96,35.91,0.091
화강암,55.9,42.75,0.09699999999999999
화강암,53.67,41.04,0.09699999999999999
화강암,51.43,39.33,0.051
화강암,58.14,44.46,0.011000000000000001
화강암,89.44,68.4,0.040999999999999995
화강암,87.21,66.69,0.085
화강암,84.97,64.98,0.064
화강암,91.68,70.11,0.012
화강암,109.57,83.79,0.040999999999999995
화강암,107.33,82.08,0.054000000000000006
화강암,105.1,80.37,0.042
화강암,111.8,85.5,0.026000000000000002
화강암,114.04,87.21,0.038
화강암,111.8,85.5,0.049
화강암,109.57,83.79,0.038
화강암,116.28,88.92,0.017
화강암,111.8,85.5,0.045
화강암,109.57,83.79,0.049
화강암,107.33,82.08,0.048
화강암,114.04,87.21,0.021
화강암,134.16,102.6,0.035
화강암,131.93,100.89,0.039
화강암,129.69,99.18,0.02
화강암,136.4,104.31,0.009000000000000001
화강암,156.52,119.7,0.02
화강암,154.29,117.99,0.02
화강암,152.05,116.28,0.016
화강암,158.76,121.41,0.004
화강암,178.89,136.8,0.018000000000000002
화강암,176.65,135.09,0.018000000000000002
화강암,174.41,133.38,0.013000000000000001
화강암,181.12,138.51,0.002
화강암,223.61,171.0,0.013999999999999999
화강암,221.37,169.29,0.019
화강암,219.13,167.58,0.013000000000000001
화강암,225.84,172.71,0.005
화강암,50.0,36.84,0.225
화강암,47.5,35.0,0.43700000000000006
화강암,39.76,30.53,0.47600000000000003
화강암,52.5,38.68,0.289
화강암,75.0,55.26,0.071
화강암,72.5,53.42,0.121
화강암,61.84,47.49,0.225
화강암,77.5,57.1,0.11900000000000001
화강암,87.5,64.47,0.084
화강암,85.0,62.63,0.12300000000000001
화강암,72.88,55.97,0.171
화강암,90.0,66.31,0.09699999999999999
화강암,125.0,92.1,0.040999999999999995
화강암,122.5,90.26,0.067
화강암,106.01,81.41,0.10300000000000001
화강암,127.5,93.94,0.057
화강암,155.0,114.2,0.027999999999999997
화강암,152.5,112.36,0.052000000000000005
화강암,132.52,101.76,0.06
화강암,157.5,116.05,0.034
화강암,187.5,138.15,0.044000000000000004
화강암,185.0,136.31,0.062
화강암,161.23,123.81,0.084
화강암,190.0,139.99,0.049
화강암,225.0,165.78,0.013999999999999999
화강암,222.5,163.94,0.021
화강암,194.36,149.24,0.005
화강암,227.5,167.62,0.006
화강암,87.5,64.47,0.064
화강암,69.4,54.71,0.203
화강암,72.88,55.97,0.114
화강암,73.48,57.93,0.038
화강암,125.0,92.1,0.051
화강암,100.02,78.85,0.114
화강암,106.01,81.41,0.013000000000000001
화강암,104.1,82.07,0.013000000000000001
화강암,150.0,110.52,0.021
화강암,120.43,94.94,0.044000000000000004
화강암,128.1,98.37,0.037000000000000005
화강암,124.52,98.16,0.016
화강암,175.0,128.94,0.024
화강암,140.85,111.03,0.043
화강암,150.19,115.33,0.018000000000000002
화강암,144.93,114.25,0.013000000000000001
화강암,200.0,147.36,0.018000000000000002
화강암,161.26,127.12,0.024
화강암,172.27,132.28,0.006
화강암,165.34,130.34,0.006
화강암,225.0,165.78,0.018000000000000002
화강암,181.67,143.21,0.013000000000000001
화강암,194.36,149.24,0.005
화강암,185.75,146.43,0.005
화강암,250.0,184.2,0.016
화강암,202.08,159.31,0.008
화강암,216.45,166.2,0.006
화강암,206.17,162.52,0.006
화강암,100.0,73.68,0.076
화강암,79.61,62.76,0.10300000000000001
화강암,71.18,57.74,0.064
화강암,83.69,65.98,0.071
화강암,125.0,92.1,0.04
화강암,100.02,78.85,0.051
화강암,89.91,72.94,0.033
화강암,104.1,82.07,0.038
화강암,150.0,110.52,0.032
화강암,120.43,94.94,0.055999999999999994
화강암,108.64,88.13,0.028999999999999998
화강암,124.52,98.16,0.028999999999999998
화강암,175.0,128.94,0.024
화강암,140.85,111.03,0.052000000000000005
화강암,127.38,103.33,0.040999999999999995
화강암,144.93,114.25,0.037000000000000005
화강암,200.0,147.36,0.024
화강암,161.26,127.12,0.04
화강암,146.11,118.53,0.024
화강암,165.34,130.34,0.028999999999999998
화강암,225.0,165.78,0.018000000000000002
화강암,181.67,143.21,0.024
화강암,164.84,133.72,0.013999999999999999
화강암,185.75,146.43,0.019
화강암,255.0,187.89,0.01
화강암,206.17,162.52,0.016
화강암,187.32,151.96,0.013999999999999999
화강암,210.25,165.74,0.013999999999999999
화강암,310.0,228.41,0.01
화강암,251.07,197.93,0.013999999999999999
화강암,228.53,185.39,0.013000000000000001
화강암,255.16,201.14,0.01
화강암,262.5,193.41,0.01
화강암,212.29,167.35,0.028999999999999998
화강암,192.94,156.51,0.017
화강암,216.37,170.57,0.027000000000000003
화강암,80.0,63.5,0.051
화강암,78.0,61.91,0.151
화강암,80.11,62.48,0.10300000000000001
화강암,82.0,65.08,0.081
화강암,110.0,87.31,0.021
화강암,108.0,85.72,0.051
화강암,111.73,87.14,0.040999999999999995
화강암,112.0,88.89,0.033
화강암,140.0,111.12,0.016
화강암,138.0,109.53,0.037000000000000005
화강암,145.46,113.45,0.035
화강암,142.0,112.71,0.018000000000000002
화강암,170.0,134.93,0.019
화강암,168.0,133.34,0.028999999999999998
화강암,174.98,136.46,0.003
화강암,172.0,136.52,0.003
화강암,200.0,158.74,0.013999999999999999
화강암,198.0,157.15,0.018000000000000002
화강암,206.6,161.13,0.006
화강암,202.0,160.33,0.006
화강암,272.0,215.89,0.006
화강암,270.0,214.3,0.013999999999999999
화강암,282.5,220.31,0.006
화강암,274.0,217.47,0.006
화강암,358.0,284.14,0.006
화강암,356.0,282.56,0.008
화강암,373.15,291.01,0.005
화강암,360.0,285.73,0.005
화강암,100.0,79.37,0.067
화강암,98.0,77.78,0.13
