뇌관,심발,SR SD,CR SD,최대입자속도
전자,Cylinder-cut,101.19,78.92,0.09
전자,Cylinder-cut,102.0,80.96,0.040999999999999995
전자,Cylinder-cut,120.0,95.24,0.075
전자,Cylinder-cut,118.0,93.66,0.094
전자,Cylinder-cut,122.27,95.36,0.054000000000000006
전자,Cylinder-cut,122.0,96.83,0.040999999999999995
전자,Cylinder-cut,160.0,126.99,0.043
전자,Cylinder-cut,158.0,125.4,0.055999999999999994
전자,Cylinder-cut,164.44,128.24,0.040999999999999995
전자,Cylinder-cut,162.0,128.58,0.043
전자,Cylinder-cut,180.0,142.87,0.038
전자,Cylinder-cut,178.0,141.28,0.048
전자,Cylinder-cut,185.52,144.68,0.032
전자,Cylinder-cut,182.0,144.45,0.027000000000000003
전자,Cylinder-cut,200.0,158.74,0.035
전자,Cylinder-cut,198.0,157.15,0.037000000000000005
전자,Cylinder-cut,206.6,161.13,0.037000000000000005
전자,Cylinder-cut,202.0,160.33,0.016
전자,Cylinder-cut,66.0,52.38,0.08900000000000001
전자,Cylinder-cut,64.0,50.8,0.177
전자,Cylinder-cut,65.35,50.97,0.076
전자,Cylinder-cut,68.0,53.97,0.102
전자,Cylinder-cut,76.0,60.32,0.033
전자,Cylinder-cut,74.0,58.73,0.083
전자,Cylinder-cut,75.89,59.19,0.10800000000000001
전자,Cylinder-cut,78.0,61.91,0.065
전자,Cylinder-cut,80.0,63.5,0.043
전자,Cylinder-cut,78.0,61.91,0.095
전자,Cylinder-cut,80.11,62.48,0.083
전자,Cylinder-cut,82.0,65.08,0.095
전자,Cylinder-cut,100.0,79.37,0.028999999999999998
전자,Cylinder-cut,98.0,77.78,0.06
전자,Cylinder-cut,101.19,78.92,0.037000000000000005
전자,Cylinder-cut,102.0,80.96,0.065
전자,Cylinder-cut,120.0,95.24,0.027000000000000003
전자,Cylinder-cut,118.0,93.66,0.059000000000000004
전자,Cylinder-cut,122.27,95.36,0.054000000000000006
전자,Cylinder-cut,122.0,96.83,0.052000000000000005
전자,Cylinder-cut,160.0,126.99,0.027000000000000003
전자,Cylinder-cut,158.0,125.4,0.06
전자,Cylinder-cut,164.44,128.24,0.040999999999999995
전자,Cylinder-cut,162.0,128.58,0.054000000000000006
전자,Cylinder-cut,180.0,142.87,0.019
전자,Cylinder-cut,178.0,141.28,0.062
전자,Cylinder-cut,185.52,144.68,0.044000000000000004
전자,Cylinder-cut,182.0,144.45,0.027000000000000003
전자,Cylinder-cut,55.11,43.45,0.168
전자,Cylinder-cut,53.07,41.84,0.17600000000000002
전자,Cylinder-cut,61.24,48.27,0.19
전자,Cylinder-cut,71.44,56.32,0.122
전자,Cylinder-cut,65.32,51.49,0.196
전자,Cylinder-cut,85.73,67.58,0.184
전자,Cylinder-cut,53.4,45.35,0.205
전자,Cylinder-cut,51.77,43.96,0.27
전자,Cylinder-cut,51.89,43.56,0.184
전자,Cylinder-cut,53.89,45.76,0.222
전자,Cylinder-cut,58.46,49.64,0.149
전자,Cylinder-cut,56.83,48.26,0.233
전자,Cylinder-cut,57.13,47.96,0.14400000000000002
전자,Cylinder-cut,60.09,51.03,0.179
전자,Cylinder-cut,77.08,65.45,0.11
전자,Cylinder-cut,75.44,64.07,0.13699999999999998
전자,Cylinder-cut,76.4,64.14,0.111
전자,Cylinder-cut,78.38,66.56,0.122
전자,Cylinder-cut,83.61,71.0,0.083
전자,Cylinder-cut,81.98,69.61,0.102
전자,Cylinder-cut,83.16,69.81,0.113
전자,Cylinder-cut,84.92,72.11,0.09699999999999999
전자,Cylinder-cut,90.63,76.96,0.076
전자,Cylinder-cut,89.0,75.58,0.098
전자,Cylinder-cut,90.43,75.92,0.092
전자,Cylinder-cut,92.26,78.35,0.091
전자,Cylinder-cut,97.82,83.06,0.087
전자,Cylinder-cut,96.18,81.68,0.10300000000000001
전자,Cylinder-cut,97.87,82.16,0.076
전자,Cylinder-cut,99.61,84.59,0.08900000000000001
전자,Cylinder-cut,104.84,89.03,0.075
전자,Cylinder-cut,103.21,87.64,0.086
전자,Cylinder-cut,105.14,88.26,0.087
전자,Cylinder-cut,106.14,90.14,0.086
전자,Cylinder-cut,112.35,95.41,0.073
전자,Cylinder-cut,110.72,94.02,0.073
전자,Cylinder-cut,112.91,94.79,0.073
전자,Cylinder-cut,114.31,97.07,0.068
전자,Cylinder-cut,38.89,32.16,0.205
전자,Cylinder-cut,37.12,30.7,0.213
전자,Cylinder-cut,37.46,30.39,0.198
전자,Cylinder-cut,40.66,33.63,0.243
