,K,n,s,exp,det,rot,roc,cen
0,545.5326003990932,-1.7778391559249767,0.06002265275218977,0,1,0,9,1
0,613.4644782478455,-1.9739806671356506,0.06770086379983963,0,1,0,10,1
0,614.8854977043284,-1.9835721372691852,0.15663544648160263,0,1,0,11,1
0,545.9947619210664,-1.502172270161699,0.07203608459479859,0,1,0,0,2
0,473.7531317338469,-1.4479325819888542,0.16614102832688307,0,1,1,0,2
0,506.06897105589866,-1.6363506080523513,0.09183999477491651,0,1,2,0,2
0,550.0552337277607,-1.513531396423158,0.06664587075587722,0,1,3,0,2
0,545.9947619210664,-1.502172270161699,0.07203608459479859,0,1,0,0,2
0,583.7641615880556,-1.6724082604129884,0.018978037810004435,0,1,0,1,2
0,575.7284480645391,-1.754551330961874,0.0660839822085716,0,1,0,2,2
0,582.5181473981515,-1.7950185284982838,0.11069386942328852,0,1,0,3,2
0,598.6492821243703,-1.8131480352938438,0.14464959009423037,0,1,0,4,2
0,582.3504453480248,-1.7364542248767314,0.15293373974901914,0,1,0,5,2
0,537.6027446672365,-1.5948460015212376,0.19752064496393665,0,1,0,6,2
0,421.2338764224914,-1.2615847229080832,0.2946650133792925,0,1,0,7,2
0,428.5835537622603,-1.3007525307960754,0.3291587425183122,0,1,0,8,2
0,522.8472562229471,-1.574647852022452,0.1607990457700519,0,1,0,9,2
0,553.046833190411,-1.5853029956590148,0.07858143469525795,0,1,0,10,2
0,540.7993780470907,-1.5110512373387683,0.07334943006187428,0,1,0,11,2
0,545.564144078663,-1.635950582393579,0.27366034891945695,0,1,0,0,3
0,539.0110223418243,-1.698062392506987,0.28172940118983236,0,1,1,0,3
0,503.687462095273,-1.6611218696425873,0.17544532259928883,0,1,2,0,3
0,565.3919882772266,-1.6912544521626192,0.2900496801383481,0,1,3,0,3
0,545.564144078663,-1.635950582393579,0.27366034891945695,0,1,0,0,3
0,590.4180133262793,-1.806549390250182,0.15922879069599383,0,1,0,1,3
0,587.398211017117,-1.8751496282741071,0.14674553080879923,0,1,0,2,3
0,606.8150939026643,-1.8988597959112397,0.1377622631255196,0,1,0,3,3
0,625.6824485970851,-1.9384409571326153,0.13813160933241742,0,1,0,4,3
0,627.5856357269925,-1.9245801755373946,0.12958600078304985,0,1,0,5,3
0,570.6470021365958,-1.747827694999135,0.14660155837059402,0,1,0,6,3
0,460.21366767573255,-1.4709806260612317,0.20551135820744942,0,1,0,7,3
0,525.986823512545,-1.684585807514183,0.27893304685677756,0,1,0,8,3
0,546.1018239665028,-1.75641126462574,0.21136038757599826,0,1,0,9,3
0,547.5949044151065,-1.7105329530291704,0.24123255580852881,0,1,0,10,3
0,513.1799730665086,-1.5932745084398574,0.33697176853852007,0,1,0,11,3
0,574.2543637480901,-1.7557564497857716,0.3483274970646404,0,1,0,0,4
0,522.3430235125821,-1.6770140858875744,0.2990390429836501,0,1,1,0,4
0,538.0331294282637,-1.7411388438762891,0.2519532096752341,0,1,2,0,4
