K,n,s,# of elem,exp,det,rot,roc,cen
4.508781292,-1.557833249,0.332784808,387,1,0,0,0,6
0.196081207,-0.487054058,0.614934383,135,1,0,0,0,7
3.667137388,-1.416310514,0.384818707,2728,1,0,0,0,0
4.825704543,-1.737848457,0.089887964,6,2,1,1,8,1
3.454455886,-1.321654441,0.227808389,6,2,1,1,8,3
4.785359688,-1.693231834,0.187127976,12,2,1,1,8,0
4.825704543,-1.737848457,0.089887964,6,2,1,1,0,1
3.454455886,-1.321654441,0.227808389,6,2,1,1,0,3
4.785359688,-1.693231834,0.187127976,12,2,1,1,0,0
6.107938635,-2.130847632,0.044778174,8,2,1,3,11,1
2.842886025,-1.388237073,0.195758645,11,2,1,3,11,6
4.409519512,-1.730979812,0.186306632,19,2,1,3,11,0
6.107938635,-2.130847632,0.044778174,8,2,1,3,0,1
2.842886025,-1.388237073,0.195758645,11,2,1,3,0,6
4.409519512,-1.730979812,0.186306632,19,2,1,3,0,0
6.107938635,-2.130847632,0.044778174,8,2,1,0,11,1
2.842886025,-1.388237073,0.195758645,11,2,1,0,11,6
4.409519512,-1.730979812,0.186306632,19,2,1,0,11,0
4.825704543,-1.737848457,0.089887964,6,2,1,0,8,1
3.454455886,-1.321654441,0.227808389,6,2,1,0,8,3
4.785359688,-1.693231834,0.187127976,12,2,1,0,8,0
4.878786804,-1.778446437,0.112362461,14,2,1,0,0,1
3.454455886,-1.321654441,0.227808389,6,2,1,0,0,3
2.842886025,-1.388237073,0.195758645,11,2,1,0,0,6
4.08978824,-1.603091317,0.237091365,31,2,1,0,0,0
1.220616409,-0.922258819,0.406351906,9,2,2,3,11,3
1.220616409,-0.922258819,0.406351906,9,2,2,3,11,0
1.220616409,-0.922258819,0.406351906,9,2,2,3,0,3
4.098938092,-1.408162736,0.429086765,8,2,2,3,0,4
1.928356399,-1.005056773,0.55088056,17,2,2,3,0,0
1.220616409,-0.922258819,0.406351906,9,2,2,0,11,3
1.220616409,-0.922258819,0.406351906,9,2,2,0,11,0
1.220616409,-0.922258819,0.406351906,9,2,2,0,0,3
4.098938092,-1.408162736,0.429086765,8,2,2,0,0,4
1.928356399,-1.005056773,0.55088056,17,2,2,0,0,0
5.725492174,-2.110398022,0.268179216,7,2,3,2,3,1
5.725492174,-2.110398022,0.268179216,7,2,3,2,3,0
5.725492174,-2.110398022,0.268179216,7,2,3,2,0,1
5.725492174,-2.110398022,0.268179216,7,2,3,2,0,0
4.914470378,-1.718810257,0.323924242,83,2,3,3,11,1
2.798514469,-1.276771489,0.202886401,5,2,3,3,11,3
3.852085607,-1.463923748,0.384439472,23,2,3,3,11,6
4.378430138,-1.602418859,0.344643484,111,2,3,3,11,0
3.315684427,-1.360256803,0.16657323,8,2,3,3,4,1
3.315684427,-1.360256803,0.16657323,8,2,3,3,4,0
1.065233546,-0.889182443,0.211665326,13,2,3,3,6,1
1.065233546,-0.889182443,0.211665326,13,2,3,3,6,0
3.857984927,-1.450094661,0.225458313,6,2,3,3,10,1
3.857984927,-1.450094661,0.225458313,6,2,3,3,10,0
4.178229006,-1.541387125,0.321540904,138,2,3,3,0,1
2.798514469,-1.276771489,0.202886401,5,2,3,3,0,3
3.852085607,-1.463923748,0.384439472,23,2,3,3,0,6
4.030187912,-1.510798597,0.331446106,166,2,3,3,0,0
4.914470378,-1.718810257,0.323924242,83,2,3,0,11,1
2.798514469,-1.276771489,0.202886401,5,2,3,0,11,3
3.852085607,-1.463923748,0.384439472,23,2,3,0,11,6
4.378430138,-1.602418859,0.344643484,111,2,3,0,11,0
5.725492174,-2.110398022,0.268179216,7,2,3,0,3,1
5.725492174,-2.110398022,0.268179216,7,2,3,0,3,0
3.315684427,-1.360256803,0.16657323,8,2,3,0,4,1
3.315684427,-1.360256803,0.16657323,8,2,3,0,4,0
1.065233546,-0.889182443,0.211665326,13,2,3,0,6,1
1.065233546,-0.889182443,0.211665326,13,2,3,0,6,0
3.857984927,-1.450094661,0.225458313,6,2,3,0,10,1
