,0,Training Loss,Test Loss
190,0,0.005706827,0.013530426
191,0,0.004986647,0.013516366
192,0,0.004833649,0.013515918
193,0,0.005236829,0.013483776
194,0,0.005314774,0.013562866
195,0,0.004831072,0.013460495
196,0,0.005444189,0.013521094
197,0,0.005342796,0.013425704
198,0,0.005126144,0.013423503
199,0,0.005447548,0.013481617
200,0,0.005609036,0.01339464
201,0,0.005134688,0.013293205
202,0,0.005418486,0.013324641
203,0,0.004873638,0.013196723
204,0,0.004972203,0.013281772
205,0,0.005171629,0.013210878
206,0,0.004602254,0.013241539
207,0,0.004669225,0.013137877
208,0,0.004769299,0.013166022
209,0,0.005328162,0.013100923
210,0,0.005373879,0.013055664
211,0,0.005004888,0.013088822
212,0,0.005093235,0.012951773
213,0,0.005004336,0.012983699
214,0,0.004692649,0.012931091
215,0,0.004654466,0.01286424
216,0,0.005022288,0.012868417
217,0,0.00484242,0.012822029
218,0,0.005163783,0.012781153
219,0,0.00535376,0.01269922
220,0,0.004549612,0.012757123
221,0,0.004769007,0.012626284
222,0,0.004928499,0.012555772
223,0,0.00507734,0.012506062
224,0,0.005055008,0.01247598
225,0,0.005180593,0.012494142
226,0,0.004934646,0.012447353
227,0,0.004223263,0.01244183
228,0,0.004613811,0.012392703
229,0,0.004652109,0.012375744
230,0,0.00434837,0.012273399
231,0,0.004367195,0.012254596
232,0,0.004548551,0.012224989
233,0,0.004275884,0.012160284
234,0,0.004237694,0.012180397
235,0,0.004289555,0.012076094
236,0,0.004403017,0.012030169
237,0,0.004175398,0.012054207
238,0,0.004152985,0.011972439
239,0,0.004371297,0.01195457
240,0,0.005280604,0.011936817
241,0,0.00390168,0.011926489
242,0,0.004576622,0.011844978
243,0,0.0040821,0.011805219
244,0,0.00407044,0.011785937
245,0,0.004345824,0.011697643
246,0,0.004213233,0.011835866
247,0,0.004335785,0.011751376
248,0,0.004054189,0.011737983
249,0,0.004470509,0.01178091
250,0,0.003843529,0.011734288
251,0,0.004290949,0.011704095
252,0,0.004246394,0.011584793
253,0,0.004517677,0.011524836
254,0,0.004407581,0.01151312
255,0,0.004005161,0.011521414
256,0,0.004277871,0.011430307
257,0,0.004122759,0.011493741
258,0,0.004322912,0.011432685
259,0,0.004037596,0.011414435
260,0,0.004280201,0.011383351
261,0,0.004368387,0.011336797
262,0,0.004098825,0.011311373
263,0,0.003742338,0.011297265
264,0,0.003426996,0.011226119
265,0,0.004110128,0.011231393
266,0,0.003762373,0.011261052
267,0,0.003940539,0.011220409
268,0,0.004049868,0.011182259
269,0,0.004656614,0.011125864
270,0,0.003958532,0.011167298
271,0,0.004068528,0.011131667
272,0,0.004101024,0.011101341
273,0,0.003434405,0.01103902
274,0,0.003569648,0.01106254
275,0,0.003832528,0.010996534
276,0,0.003356553,0.010963633
277,0,0.004191617,0.010970646
278,0,0.003977193,0.01090638
279,0,0.003592749,0.011005495
280,0,0.003703674,0.010854483
281,0,0.004156192,0.010903493
282,0,0.003929688,0.010847411
283,0,0.004215874,0.010815042
284,0,0.00377382,0.010809496
285,0,0.004310272,0.010727122
286,0,0.004154591,0.010740887
287,0,0.003288919,0.010798365
288,0,0.003143075,0.010700675
289,0,0.003757591,0.010655727
290,0,0.003506744,0.010681849
291,0,0.00352958,0.010626492
292,0,0.003708908,0.010641856
293,0,0.003877904,0.010600672
294,0,0.003717677,0.010619218
295,0,0.003855726,0.010581025
296,0,0.003949783,0.010570845
297,0,0.003420791,0.010547166
