,,,,,,,,화약,,뇌관,,암석분류,,암석명,,심발공,
,,,,,,,,0,모든 폭약,0,모든 뇌관,0,모든 암석분류,0,모든 암석명,0,모든 심발
,,,,,,,,1,에멀젼C,1,비전기,1,변성암,1,규장암,1,Cylinder-cut
,,,,,,,,2,정밀폭약,2,전기,2,퇴적암,2,사암,2,TBM 선굴착
,,,,,,,,3,함수폭약,3,전자,3,화성암,3,석회암,3,V-CUT
,,,,,,,,,,,,,,4,섬록암,4,라인 드릴링
,,,,,,,,,,,,,,5,셰일,5,분착식 다단발파
,,,,,,,,,,,,,,6,안산암,6,선대구경
,,,,,,,,,,,,,,7,응회암,7,수직구
,,,,,,,,,,,,,,8,편마암,,
,,,,,,,,,,,,,,9,편암,,
,,,,,,,,,,,,,,10,화강반암,,
,,,,,,,,,,,,,,11, 화강암,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,K,n,s,exp,det,rot,roc,cen,,,,,,,,,
0,272.4909063,-1.84494283,0.070512434,모든 화약,모든 뇌관,모든 암석분류,사암,분착식 다단발파,,,,,,,,,
0,314.7422489,-1.872048384,0.077492097,모든 화약,모든 뇌관,모든 암석분류,석회암,분착식 다단발파,,,,,,,,,
0,371.1037175,-1.949385538,0.06637697,모든 화약,모든 뇌관,모든 암석분류,섬록암,분착식 다단발파,,,,,,,,,
0,375.2553462,-1.914343146,0.062350889,모든 화약,모든 뇌관,모든 암석분류,셰일,분착식 다단발파,,,,,,,,,
0,301.083294,-1.733998108,0.07907065,모든 화약,모든 뇌관,모든 암석분류,안산암,분착식 다단발파,,,,,,,,,
0,107.9987941,-1.458588742,0.126771755,모든 화약,모든 뇌관,모든 암석분류,응회암,분착식 다단발파,,,,,,,,,
0,48.25484221,-1.423353121,0.142974125,모든 화약,모든 뇌관,모든 암석분류,편마암,분착식 다단발파,,,,,,,,,
0,37.90799144,-1.494767297,0.133318866,모든 화약,모든 뇌관,모든 암석분류,편암,분착식 다단발파,,,,,,,,,
0,66.17940277,-1.628304606,0.110974666,모든 화약,모든 뇌관,모든 암석분류,화강반암,분착식 다단발파,,,,,,,,,
0,74.84858455,-1.643623829,0.123720134,모든 화약,모든 뇌관,모든 암석분류,화강암,분착식 다단발파,,,,,,,,,
0,76.13832857,-1.525932177,0.137056199,모든 화약,모든 뇌관,모든 암석분류,모든 암종,선대구경,,,,,,,,,
0,30.17258006,-1.289558492,0.153324194,모든 화약,모든 뇌관,변성암,모든 암종,선대구경,,,,,,,,,
0,97.6827035,-1.546132654,0.138722798,모든 화약,모든 뇌관,퇴적암,모든 암종,선대구경,,,,,,,,,
0,132.9178372,-1.665987343,0.115916938,모든 화약,모든 뇌관,화성암,모든 암종,선대구경,,,,,,,,,
0,76.13832857,-1.525932177,0.137056199,모든 화약,모든 뇌관,모든 암석분류,모든 암종,선대구경,,,,,,,,,
0,187.8982742,-1.627243452,0.13271742,모든 화약,모든 뇌관,모든 암석분류,규장암,선대구경,,,,,,,,,
0,261.2833299,-1.709291497,0.13130432,모든 화약,모든 뇌관,모든 암석분류,사암,선대구경,,,,,,,,,
0,313.4236455,-1.783222224,0.115746983,모든 화약,모든 뇌관,모든 암석분류,석회암,선대구경,,,,,,,,,
0,362.1176028,-1.868329823,0.0898486,모든 화약,모든 뇌관,모든 암석분류,섬록암,선대구경,,,,,,,,,
0,392.7177919,-1.925193452,0.068084546,모든 화약,모든 뇌관,모든 암석분류,셰일,선대구경,,,,,,,,,
0,378.6336178,-1.87881501,0.071496729,모든 화약,모든 뇌관,모든 암석분류,안산암,선대구경,,,,,,,,,
0,148.6292904,-1.462768846,0.137016231,모든 화약,모든 뇌관,모든 암석분류,응회암,선대구경,,,,,,,,,
0,28.93029305,-1.281826372,0.152663206,모든 화약,모든 뇌관,모든 암석분류,편마암,선대구경,,,,,,,,,
0,28.88802457,-1.303981465,0.170659371,모든 화약,모든 뇌관,모든 암석분류,편암,선대구경,,,,,,,,,
0,47.56356149,-1.368934432,0.17421607,모든 화약,모든 뇌관,모든 암석분류,화강반암,선대구경,,,,,,,,,
0,79.38937541,-1.565235026,0.144867505,모든 화약,모든 뇌관,모든 암석분류,화강암,선대구경,,,,,,,,,
0,35.93049868,-1.281212331,0.186716446,모든 화약,모든 뇌관,모든 암석분류,모든 암종,수직구,,,,,,,,,
0,30.87007687,-1.405283235,0.122519791,모든 화약,모든 뇌관,변성암,모든 암종,수직구,,,,,,,,,
0,16.52837973,-1.072885683,0.296167862,모든 화약,모든 뇌관,퇴적암,모든 암종,수직구,,,,,,,,,
0,5.993845933,-0.870246032,0.419135117,모든 화약,모든 뇌관,화성암,모든 암종,수직구,,,,,,,,,
0,35.93049868,-1.281212331,0.186716446,모든 화약,모든 뇌관,모든 암석분류,모든 암종,수직구,,,,,,,,,
0,134.4231353,-1.51360521,0.158701173,모든 화약,모든 뇌관,모든 암석분류,규장암,수직구,,,,,,,,,
0,203.0912438,-1.619795106,0.139526608,모든 화약,모든 뇌관,모든 암석분류,사암,수직구,,,,,,,,,
0,232.7713596,-1.663027915,0.134841847,모든 화약,모든 뇌관,모든 암석분류,석회암,수직구,,,,,,,,,
0,263.576159,-1.716570854,0.114219883,모든 화약,모든 뇌관,모든 암석분류,섬록암,수직구,,,,,,,,,
0,288.7318098,-1.755904279,0.096485253,모든 화약,모든 뇌관,모든 암석분류,셰일,수직구,,,,,,,,,
0,293.8887769,-1.781619175,0.086996329,모든 화약,모든 뇌관,모든 암석분류,안산암,수직구,,,,,,,,,
0,127.6669331,-1.576966427,0.093639101,모든 화약,모든 뇌관,모든 암석분류,응회암,수직구,,,,,,,,,
0,28.43960447,-1.397964675,0.125699669,모든 화약,모든 뇌관,모든 암석분류,편마암,수직구,,,,,,,,,
0,13.51168267,-1.179194142,0.203232601,모든 화약,모든 뇌관,모든 암석분류,편암,수직구,,,,,,,,,
0,8.481599431,-1.013660557,0.318074245,모든 화약,모든 뇌관,모든 암석분류,화강반암,수직구,,,,,,,,,
0,4.103187189,-0.863586937,0.430354186,모든 화약,모든 뇌관,모든 암석분류,화강암,수직구,,,,,,,,,
0,99.70818088,-1.628837569,0.12412844,모든 화약,비전기,모든 암석분류,모든 암종,모든 심발,,,,,,,,,
0,83.33483636,-1.597086055,0.122051475,모든 화약,비전기,변성암,모든 암종,모든 심발,,,,,,,,,
0,128.9709294,-1.724438753,0.093244006,모든 화약,비전기,퇴적암,모든 암종,모든 심발,,,,,,,,,
0,132.3182911,-1.681360503,0.125373294,모든 화약,비전기,화성암,모든 암종,모든 심발,,,,,,,,,
0,99.70818088,-1.628837569,0.12412844,모든 화약,비전기,모든 암석분류,모든 암종,모든 심발,,,,,,,,,
0,321.9957107,-1.766377023,0.056599414,모든 화약,비전기,모든 암석분류,규장암,모든 심발,,,,,,,,,
